Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"8,786","9,599","9,979","10,281","10,236","10,772","11,393","11,004","10,991","11,132","11,396","12,065","12,555","12,603","12,516","13,053","12,949","13,021","13,429","11,243","11,926","9,211"
Agosto,"8,601","9,766","9,939","10,425","10,049","10,638","11,094","10,549","10,782","10,942","11,100","11,797","12,109","12,441","12,387","12,978","12,856","12,520","12,944","11,177","11,958","8,004"
Septiembre,"8,595","9,627","10,025","10,394","9,771","10,193","10,689","9,627","10,179","10,050","10,857","11,699","11,750","12,100","11,819","12,167","12,466","11,995","11,667","10,337","11,600",
Octubre,"8,687","9,476","9,812","10,313","9,963","10,491","10,767","9,827","10,068","10,578","10,813","11,700","11,689","12,172","12,387","12,384","12,614","12,133","9,726","10,108","11,678",
Noviembre,"8,772","9,682","9,953","10,300","10,012","10,591","11,145","10,524","10,382","11,033","11,673","11,706","12,010","12,407","11,819","12,680","12,750","12,282","10,263","10,516","12,092",
Diciembre,"8,894","9,801","9,922","10,445","10,052","10,814","11,355","10,417","10,627","10,961","11,008","11,871","12,104","12,511","12,627","12,840","12,831","12,502","10,552","10,729","12,127",
Enero,"9,121","9,935","9,929","10,317","10,340","10,804","11,468","10,654","10,983","10,841","11,639","11,949","12,411","12,571","12,530","12,832","12,948","12,518","11,186","11,267","12,142",
Febrero,"9,543","9,915","10,308","10,481","10,291","11,221","11,610","11,023","11,581","11,259","11,865","12,244","12,516","12,572","12,837","12,910","12,977","13,020","11,264","11,494","12,442",
Marzo,"9,425","10,029","10,381","10,547","10,359","11,218","11,668","10,968","11,257","11,309","11,778","12,310","12,638","12,614","12,963","13,056","12,940","12,902","11,119","11,561","11,430",
Abril,"9,534","9,999","10,449","10,471","10,343","11,204","11,807","11,118","11,203","11,449","11,381","12,288","12,632","12,526","12,851","12,910","12,917","13,081","11,141","11,627","7,463",
Mayo,"9,543","9,972","10,375","10,461","10,684","11,122","11,453","10,909","10,831","11,149","11,608","12,012","12,413","12,516","12,935","12,971","12,879","13,073","11,124","12,122","7,472",
Junio,"9,662","9,963","10,290","10,487","10,703","11,177","11,176","11,027","11,115","11,423","11,797","12,188","12,530","12,139","12,609","13,054","13,004","13,169","11,223","11,603","9,759",
