Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"9,767","10,615","10,925","11,307","11,342","11,788","12,300","11,882","11,896","11,975","12,280","12,876","13,350","13,389","13,280","13,686","13,594","13,667","13,972","11,767","12,436","11,017","13,435","13,795","13,849"
Agosto,"9,581","10,748","10,875","11,457","11,027","11,651","11,989","11,404","11,621","11,774","11,853","12,605","12,886","13,212","13,138","13,616","13,480","13,093","13,476","11,686","12,456","11,039","13,746","13,343","13,840"
Septiembre,"9,578","10,583","10,969","11,457","10,765","11,198","11,539","10,480","11,016","10,864","11,606","12,502","12,521","12,848","12,566","12,776","13,084","12,559","12,109","10,847","12,125","11,331","12,933","12,752","13,272"
Octubre,"9,632","10,431","10,761","11,371","10,956","11,461","11,624","10,675","10,886","11,402","11,559","12,480","12,464","12,924","12,639","12,983","13,225","12,694","10,093","10,600","12,206","11,544","12,601","13,359","14,610"
Noviembre,"9,736","10,668","10,965","11,366","11,008","11,559","12,010","11,097","11,215","11,871","11,892","12,466","12,762","13,158","12,939","13,284","13,377","12,847","10,736","11,014","12,609","11,373","13,660","13,423","13,876"
Diciembre,"9,858","10,818","10,925","11,511","11,048","11,802","12,216","11,286","11,466","11,794","11,746","12,615","12,853","13,282","13,320","13,439","13,467","13,109","11,065","11,260","12,643","11,926","13,706","13,579","14,055"
Enero,"10,079","10,946","10,946","11,383","11,335","11,782","12,325","11,526","11,809","11,674","12,389","12,686","13,135","13,327","13,253","13,437","13,585","13,109","11,708","11,757","12,981","11,902","12,977","13,781","13,877"
Febrero,"10,493","10,893","11,321","11,546","11,293","12,200","12,490","11,905","12,009","12,054","12,607","12,995","13,257","13,343","13,526","13,518","13,607","13,613","11,789","12,004","13,269","12,682","13,609","13,872","14,231"
Marzo,"10,379","10,996","11,395","11,607","11,357","12,210","12,583","11,849","12,095","12,107","12,519","13,065","13,398","13,387","13,658","13,662","13,570","13,506","11,644","12,053","12,393","12,676","13,637","13,953","14,325"
Abril,"10,496","10,976","11,476","11,538","11,364","12,197","12,721","12,013","12,050","12,247","12,500","13,046","13,382","13,296","13,557","13,527","13,549","13,670","11,669","12,140","8,411","13,044","13,789","13,988","14,276"
Mayo,"10,498","10,946","11,397","11,528","11,691","12,104","12,357","11,797","11,671","12,030","12,349","12,761","13,182","13,285","13,626","13,588","13,513","13,608","11,641","12,621","8,423","13,426","13,802","13,897",
Junio,"10,651","10,939","11,308","11,557","11,722","12,180","12,100","11,922","11,952","12,303","12,598","12,954","13,293","12,900","13,683","13,691","13,641","13,705","11,751","12,100","10,197","13,484","13,683","14,030",
