Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,981,"1,016",946,"1,026","1,105","1,016",907,878,905,843,885,811,795,785,765,635,645,647,542,525,510,439
Agosto,981,982,936,"1,032",978,"1,013",895,855,839,832,753,808,776,771,751,620,624,573,533,509,498,315
Septiembre,984,956,944,"1,062",994,"1,005",850,853,838,814,749,802,770,748,748,610,619,564,442,510,524,
Octubre,945,955,949,"1,058",993,970,857,848,818,824,746,780,775,751,688,599,611,561,367,492,527,
Noviembre,964,986,"1,011","1,066",996,987,865,843,833,838,739,760,752,751,696,604,628,566,473,498,517,
Diciembre,964,991,"1,003","1,066",996,988,861,869,839,833,738,744,749,771,693,603,635,607,513,531,516,
Enero,958,"1,011","1,017","1,066",995,978,857,872,826,834,750,737,724,755,722,605,637,590,522,491,481,
Febrero,950,977,"1,012","1,065","1,002",979,880,882,857,795,742,750,741,771,688,608,631,592,525,510,494,
Marzo,953,968,"1,014","1,059",998,992,915,881,839,797,742,760,760,773,694,606,629,604,525,492,485,
Abril,962,977,"1,027","1,066","1,020",993,915,895,847,798,716,758,750,770,705,628,632,589,528,514,239,
Mayo,955,974,"1,021","1,067","1,007",983,905,888,840,881,741,749,768,769,702,616,634,534,517,500,209,
Junio,989,976,"1,018","1,070","1,019","1,004",924,895,836,880,801,766,763,760,615,637,636,536,527,497,401,
