Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"7,404","7,238","7,301","7,692","8,126","8,776","9,079","8,837","8,466","8,548","9,037","9,641","9,943","10,288","10,098","10,555","10,834","10,505","11,106","8,602","8,976","3,655"
Agosto,"6,334","6,381","6,298","7,080","7,470","7,542","7,626","7,243","7,832","7,727","7,919","8,149","8,263","8,829","9,230","9,374","9,304","8,692","9,712","8,028","8,037","2,317"
Septiembre,"5,142","5,188","4,218","5,340","5,196","5,555","5,824","5,584","5,908","5,071","6,355","6,435","6,584","7,164","11,819","6,824","7,350","7,245","6,518","6,184","6,071",
Octubre,"5,914","5,592","4,938","5,788","6,128","6,428","6,216","5,798","6,264","6,388","6,429","6,956","6,869","7,816","7,276","7,511","7,974","6,922","7,666","6,061","6,741",
Noviembre,"6,445","6,687","5,897","6,728","6,887","7,101","7,466","6,984","6,878","6,702","7,129","7,148","7,979","8,316","8,520","8,641","8,665","7,509","8,512","6,951","7,881",
Diciembre,"5,773","6,501","5,876","6,645","6,950","7,163","7,513","6,982","6,738","6,439","6,881","7,442","7,937","8,810","8,744","8,839","9,139","8,594","8,344","7,024","8,220",
Enero,"6,602","6,819","6,306","6,896","7,440","7,356","8,061","7,302","7,279","6,978","7,657","7,954","8,412","8,748","8,957","9,052","9,517","8,196","9,137","7,585","7,910",
Febrero,"7,719","7,399","7,291","7,948","8,068","8,489","9,165","8,604","8,682","7,848","8,726","9,533","9,100","9,648","9,673","10,446","9,868","9,454","9,555","8,612","9,322",
Marzo,"7,348","7,674","7,517","7,715","7,987","8,895","9,235","8,913","8,728","7,954","8,950","9,462","9,905","10,437","10,338","10,697","10,053","10,046","9,125","8,887","4,597",
Abril,"7,280","7,581","7,346","7,584","8,105","8,388","8,942","8,492","8,029","7,773","7,989","8,974","9,511","9,075","9,204","9,656","9,536","9,663","8,271","8,239",397,
Mayo,"6,788","6,705","6,697","6,805","7,244","7,350","7,685","7,413","7,564","7,117","7,674","7,792","8,549","8,625","8,936","9,498","8,521","8,782","8,016","7,891",716,
Junio,"6,967","6,860","7,236","7,312","7,900","7,986","8,197","8,174","8,222","8,022","8,249","8,737","9,824","9,223","10,042","10,212","9,705","10,302","8,778","8,729","2,622",
