Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"8,149","8,013","8,020","8,473","8,938","9,535","9,750","9,517","9,107","9,137","9,607","10,206","10,453","10,790","10,580","11,028","11,282","10,942","11,467","8,991","9,304","4,309","11,131","10,751","11,002"
Agosto,"6,783","6,833","6,700","7,588","7,915","7,959","7,968","7,566","8,140","8,056","8,188","8,391","8,454","9,102","9,520","9,646","9,540","8,899","9,929","8,303","8,245","2,691","9,306","9,150","9,963"
Septiembre,"5,488","5,607","4,548","5,698","5,499","5,862","6,093","5,884","6,171","5,258","6,560","6,634","6,772","7,419","6,916","7,012","7,572","7,442","6,650","6,370","6,196","3,138","7,093","7,091","7,198"
Octubre,"6,069","5,954","5,245","6,146","6,472","6,772","6,473","6,051","6,511","6,590","6,676","7,156","7,080","8,048","7,466","7,733","8,187","7,084","7,803","6,194","6,881","4,312","7,386","8,482","7,675"
Noviembre,"6,833","7,095","6,303","7,153","7,254","7,461","7,768","7,294","7,161","6,939","7,335","7,337","8,199","8,587","8,760","8,844","8,880","7,676","8,808","7,118","8,063","4,304","8,463","8,498","8,900"
Diciembre,"6,150","6,941","6,300","7,092","7,367","7,571","7,822","7,316","7,049","6,680","7,102","7,625","8,148","9,057","8,983","9,055","9,368","8,788","8,726","7,223","8,393","3,388","8,909","9,121","9,818"
Enero,"7,055","7,287","6,719","7,345","7,870","7,754","8,374","7,633","7,552","7,215","7,892","8,170","8,669","8,995","9,223","9,297","9,781","8,401","9,492","7,736","8,170","4,472","6,319","9,628","9,880"
Febrero,"8,205","7,866","7,746","8,427","8,530","8,929","9,530","8,967","8,729","8,146","8,991","9,821","9,426","9,953","9,969","10,723","10,151","9,699","9,938","8,818","9,646","6,272","8,811","10,562","10,826"
Marzo,"7,797","8,161","8,066","8,186","8,417","9,376","9,575","9,266","9,100","8,199","9,201","9,713","10,233","10,781","10,642","10,953","10,359","10,284","9,510","9,096","4,867","8,278","10,337","10,563","11,472"
Abril,"7,837","8,110","7,793","8,096","8,623","8,810","9,367","8,904","8,336","8,092","8,555","9,267","9,845","9,364","9,505","9,928","9,810","9,953","8,611","8,465",564,"8,762","10,475","10,455","10,080"
Mayo,"7,429","7,142","7,118","7,302","7,648","7,723","8,009","7,711","7,876","7,403","7,927","8,011","8,826","8,900","9,208","9,753","8,774","8,996","8,342","8,091",877,"9,308","9,726","10,038",
Junio,"7,596","7,442","7,857","7,907","8,442","8,545","8,684","8,647","8,649","8,430","8,591","9,033","10,228","9,606","10,388","10,553","10,048","10,573","9,152","9,004","2,765","10,506","10,252","10,971",
