Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,746,775,719,781,812,759,671,680,641,589,570,565,511,502,483,473,449,437,362,389,328,147
Agosto,449,452,402,507,444,417,342,324,307,329,269,243,191,274,291,272,236,207,217,275,207,53
Septiembre,346,419,329,358,303,307,269,300,263,187,204,199,186,256,202,188,222,198,131,186,125,
Octubre,346,362,308,358,343,343,257,253,246,202,247,199,210,232,190,221,213,162,137,133,141,
Noviembre,388,408,405,425,367,360,301,310,283,238,206,190,219,271,239,203,215,167,296,167,182,
Diciembre,377,439,423,447,417,408,309,334,311,241,222,183,211,247,239,281,229,193,382,199,173,
Enero,453,468,413,449,429,398,313,331,273,237,235,216,257,247,266,245,264,206,354,150,133,
Febrero,486,466,455,479,462,440,365,363,359,298,266,295,326,304,296,276,284,244,383,206,187,
Marzo,449,493,549,471,434,481,340,353,372,245,251,251,329,344,303,256,306,238,385,209,107,
Abril,558,530,446,512,517,421,425,412,307,318,290,293,334,288,301,273,274,290,340,226,22,
Mayo,469,427,421,497,404,373,321,298,312,287,253,220,278,275,272,255,253,214,325,200,32,
Junio,629,583,622,596,541,559,488,473,427,408,343,296,404,383,335,341,343,271,374,275,87,
