Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,83.4,75.5,73.4,74.9,78.8,80.9,79.3,80.1,76.6,76.3,78.2,79.3,78.3,80.6,79.7,80.6,83.0,80.1,82.1,76.4,74.8,39.1,82.8,77.9,79.4
Agosto,70.8,63.6,61.6,66.2,71.8,68.3,66.5,66.4,70.0,68.4,69.1,66.6,65.6,68.9,72.5,70.8,70.8,68.0,73.7,71.1,66.2,24.4,67.7,68.6,72.0
Septiembre,57.3,53.0,41.5,49.7,51.1,52.3,52.8,56.1,56.0,48.4,56.5,53.1,54.1,57.7,55.0,54.9,57.9,59.3,54.9,58.7,51.1,27.7,54.8,55.6,54.2
Octubre,63.0,57.1,48.7,54.1,59.1,59.1,55.7,56.7,59.8,57.8,57.8,57.3,56.8,62.3,59.1,59.6,61.9,55.8,77.3,58.4,56.4,37.3,58.6,63.5,52.5
Noviembre,70.2,66.5,57.5,62.9,65.9,64.4,64.7,65.7,63.9,58.5,61.7,58.9,64.2,65.3,67.7,66.6,66.4,59.7,82.0,64.6,63.9,37.8,62.0,63.3,64.1
Diciembre,62.4,64.3,57.7,61.6,66.7,64.2,64.0,64.8,61.5,56.6,60.5,60.4,63.4,68.2,67.4,67.4,69.6,67.0,78.9,64.1,66.4,28.4,65.0,67.2,69.9
Enero,70.0,66.6,61.4,64.5,69.4,65.8,67.9,66.2,63.9,61.8,63.7,64.4,66.0,67.5,69.6,69.2,72.0,64.1,81.1,65.8,62.9,37.6,48.7,69.9,71.2
Febrero,78.2,72.2,68.4,73.0,75.5,73.2,75.3,75.3,72.7,67.6,71.3,75.6,71.1,74.6,73.7,79.3,74.6,71.2,84.3,73.5,72.7,49.5,64.7,76.1,76.1
Marzo,75.1,74.2,70.8,70.5,74.1,76.8,76.1,78.2,75.2,67.7,73.5,74.3,76.4,80.5,77.9,80.2,76.3,76.1,81.7,75.5,39.3,65.3,75.8,75.7,80.1
Abril,74.7,73.9,67.9,70.2,75.9,72.2,73.6,74.1,69.2,66.1,68.4,71.0,73.6,70.4,70.1,73.3,72.4,72.8,73.8,69.7,6.7,67.2,76.0,74.7,70.6
Mayo,70.8,65.2,62.5,63.3,65.4,63.8,64.8,65.4,67.5,61.5,64.2,62.8,67.0,67.0,67.6,71.8,64.9,66.1,71.7,64.1,10.4,69.3,70.5,72.2,
Junio,71.3,68.0,69.5,68.4,72.0,70.2,71.8,72.5,72.4,68.5,68.2,69.7,76.9,74.5,75.9,77.1,73.7,77.1,77.9,74.4,27.1,77.9,74.9,78.2,
