Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,84.3,75.4,73.2,74.8,79.4,81.5,79.7,80.3,77.0,76.8,79.3,79.9,79.2,81.6,80.7,80.9,83.7,80.7,82.70,76.51,75.27,39.68
Agosto,73.6,65.3,63.4,67.9,74.3,70.9,68.7,68.7,72.6,70.6,71.3,69.1,68.2,71.0,74.5,72.1,72.4,69.4,75.03,71.83,67.21,28.96
Septiembre,59.6,53.9,42.1,51.4,53.2,54.5,54.5,58.0,58.0,50.5,58.5,55.0,56.0,59.2,56.8,56.1,59.0,60.4,55.87,59.82,52.33,
Octubre,65.9,59.0,50.3,56.1,61.5,61.3,57.7,59.0,62.2,60.4,59.5,59.5,58.8,64.2,60.9,60.7,63.2,57.1,78.82,59.96,57.72,
Noviembre,73.5,69.1,59.3,65.3,68.8,67.0,67.0,68.1,66.2,60.7,63.9,61.1,66.4,67.0,69.6,68.1,68.0,61.1,82.94,66.10,65.18,
Diciembre,64.9,66.3,59.2,63.6,69.1,66.2,66.2,67.0,63.4,58.7,62.5,62.7,65.6,70.4,69.2,68.9,71.2,68.7,79.08,65.47,67.79,
Enero,72.4,68.6,63.5,66.8,72.0,68.1,70.3,68.5,66.3,64.4,65.8,66.6,67.8,69.6,71.5,73.5,73.5,65.47,81.68,67.33,65.15,
Febrero,80.9,74.6,70.7,75.8,78.4,75.7,78.9,78.1,75.0,69.7,73.5,77.9,72.7,76.7,75.4,80.9,76.0,72.61,84.82,74.93,74.92,
Marzo,78.0,76.5,72.4,73.1,77.1,79.3,79.1,81.3,77.5,70.3,76.0,76.9,78.4,82.7,79.8,81.9,77.7,77.86,82.07,76.87,40.22,
Abril,76.4,75.8,70.3,72.4,78.4,74.9,75.7,76.4,71.7,67.9,70.2,73.0,75.3,72.5,71.6,74.8,73.8,73.87,74.24,70.87,5.32,
Mayo,72.9,67.2,64.5,65.0,67.8,66.1,67.1,67.9,69.8,63.8,66.1,64.9,68.8,68.9,69.1,73.2,66.2,67.18,72.06,65.10,9.58,
Junio,72.1,68.9,70.3,69.7,73.8,71.5,73.3,74.1,74.0,70.2,69.9,71.7,78.4,76.0,77.0,78.2,74.6,78.23,78.21,75.23,26.87,
