Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,76.0,76.3,76.0,76.1,73.4,74.7,74.0,77.5,70.8,69.8,64.4,69.6,64.2,63.9,63.1,74.6,69.5,67.6,66.70,74.14,64.28,33.55
Agosto,45.8,46.1,43.0,49.2,45.4,41.2,38.2,37.9,36.6,39.5,35.7,30.1,24.6,35.5,38.7,43.8,37.8,36.1,40.65,54.09,41.67,16.98
Septiembre,35.2,43.9,34.9,33.7,30.5,30.6,31.6,35.2,31.4,23.0,27.3,24.7,24.2,34.2,26.9,30.8,35.9,35.0,29.74,36.51,23.83,
Octubre,36.6,37.9,32.4,33.8,34.6,35.4,29.9,29.8,30.1,24.5,33.1,25.5,27.2,30.9,27.6,36.9,34.9,28.9,37.32,27.03,26.68,
Noviembre,40.2,41.4,40.1,39.9,36.8,36.5,34.8,36.8,34.0,28.4,27.9,25.0,29.2,36.0,34.4,33.6,34.2,29.6,62.57,33.44,35.21,
Diciembre,39.1,44.4,42.2,42.0,41.9,41.3,35.9,38.4,37.1,28.9,30.1,24.7,28.2,32.0,34.5,35.8,36.0,31.9,74.36,37.44,33.46,
Enero,47.3,46.3,40.6,42.1,43.2,40.7,36.6,38.0,33.0,28.4,31.3,29.3,35.5,32.7,36.8,40.5,41.4,34.83,67.88,30.60,27.73,
Febrero,51.1,47.7,45.0,45.0,46.1,44.9,41.5,41.1,41.9,37.5,35.8,38.4,44.0,39.5,43.0,45.4,45.0,41.27,73.05,40.33,37.77,
Marzo,47.1,51.0,54.1,44.5,43.0,48.5,37.1,40.1,44.4,30.7,33.8,33.3,43.2,44.4,43.7,42.3,48.7,39.42,73.24,42.56,22.07,
Abril,58.0,54.2,43.5,48.0,50.7,42.4,46.5,46.1,36.2,39.9,40.5,38.6,44.5,37.5,42.7,43.4,43.4,49.20,64.30,43.99,9.07,
Mayo,49.1,43.9,41.2,46.6,40.1,38.0,35.5,33.6,37.1,32.5,34.1,29.3,36.1,35.8,38.8,41.4,39.9,39.99,62.92,40.03,15.43,
Junio,63.6,59.7,61.1,55.7,53.0,55.7,52.8,52.9,51.0,46.3,42.8,38.7,52.9,50.3,54.6,53.6,53.9,50.53,70.88,55.38,21.64,
