Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"91,915","97,074","101,925","109,026","113,994","128,527","133,565","122,661","112,736","113,493","110,580","116,555","129,543","138,353","139,417","153,452","161,946","168,332","206,687","126,528","126,733","69,362","183,858","177,380","179,359"
Agosto,"85,239","98,338","100,747","108,590","115,075","121,761","125,841","115,401","109,902","114,277","110,599","111,967","118,361","126,411","132,999","141,294","144,274","142,615","169,346","114,111","143,709","44,088","156,387","153,629","163,381"
Septiembre,"60,704","68,817","54,745","73,726","69,882","74,248","81,177","77,684","69,396","63,710","78,179","80,518","79,573","89,032","81,458","88,664","98,297","110,114","89,937","80,554","104,271","48,918","110,704","103,800","113,072"
Octubre,"72,200","82,343","69,703","87,838","90,699","94,348","91,317","83,178","86,258","84,468","89,117","93,862","89,991","106,672","99,862","114,537","122,179","104,474","26,920","88,957","108,985","70,234","121,212","112,052","123,116"
Noviembre,"86,419","101,515","88,716","105,703","107,069","111,505","117,281","106,101","106,082","97,571","103,758","98,811","108,512","121,965","124,194","128,173","138,641","126,857","42,852","116,965","133,017","70,778","136,287","125,303","142,011"
Diciembre,"83,256","107,601","103,100","110,371","116,166","123,332","129,824","123,886","113,310","110,348","113,591","123,859","131,001","139,939","148,950","154,660","166,757","174,374","66,787","128,603","154,831","57,971","151,396","152,251","163,624"
Enero,"98,933","114,236","105,638","122,481","125,354","126,046","140,070","119,525","121,215","115,724","125,749","129,391","136,826","136,925","150,687","157,153","174,313","154,981","77,395","138,897","141,301","74,013","109,768","156,023","166,055"
Febrero,"112,468","113,658","113,371","124,007","131,859","134,437","143,096","131,713","130,546","118,027","131,729","139,075","139,987","139,499","148,691","162,617","164,738","150,535","82,177","136,784","148,354","98,478","139,337","157,360","170,969"
Marzo,"117,275","140,800","132,651","136,126","145,920","157,340","159,383","153,939","147,790","128,609","147,371","153,566","162,467","179,351","182,784","179,135","176,254","183,300","108,803","160,757","82,191","148,046","179,683","173,259","191,265"
Abril,"112,745","123,173","124,715","120,742","136,118","138,402","143,265","133,673","121,561","120,576","127,336","142,562","150,375","146,002","150,815","159,817","160,328","189,117","104,805","137,734","8,794","150,257","175,665","168,313","162,611"
Mayo,"96,233","106,747","106,764","101,745","105,419","112,590","115,643","109,229","107,755","107,560","104,064","111,444","124,376","131,360","135,520","148,941","138,262","150,644","107,278","138,100","12,703","163,843","160,024","167,455",
Junio,"85,525","96,158","101,757","104,255","113,448","117,472","115,816","110,707","108,771","106,491","107,376","112,977","133,657","132,034","139,384","156,517","149,568","180,557","124,656","129,248","44,146","170,994","159,699","174,588",
