Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"88,886","93,839","99,309","105,891","110,579","125,827","131,332","120,709","110,219","111,199","108,437","114,495","127,652","136,019","137,333","149,928","159,293","165,800","203,789","123,728","124,952","61,120"
Agosto,"81,864","95,372","97,836","105,235","112,407","118,830","123,531","113,373","107,634","111,948","108,976","109,804","116,170","123,872","130,360","139,104","142,404","140,896","167,877","112,131","141,769","36,656"
Septiembre,"59,236","67,304","53,447","71,835","68,449","72,995","79,652","76,441","68,444","62,619","77,444","79,588","78,570","87,520","80,216","87,544","96,779","108,878","88,946","79,339","103,283",
Octubre,"70,641","80,569","68,394","85,974","89,171","92,791","90,266","82,077","85,133","83,338","88,167","92,771","88,911","105,224","98,585","113,116","120,941","103,399","26,377","87,538","107,932",
Noviembre,"84,440","99,495","86,696","103,127","150,232","109,449","115,668","104,376","104,347","96,040","102,706","97,746","107,310","119,959","122,538","126,653","137,246","125,743","41,344","115,513","131,653",
Diciembre,"81,246","104,873","10,353","107,203","113,440","120,422","127,822","121,115","110,680","108,335","111,604","122,054","129,376","138,069","146,455","152,043","164,418","171,862","65,733","126,681","152,822",
Enero,"95,932","111,204","102,126","118,292","121,461","122,708","137,205","116,608","118,354","113,230","123,348","127,217","134,731","134,697","148,098","154,507","171,975","153,263","76,422","136,976","138,504",
Febrero,"108,848","110,601","109,544","119,661","127,898","131,115","139,088","127,640","127,099","115,364","129,217","136,428","137,440","136,977","146,214","160,148","162,289","148,377","81,448","134,724","144,732",
Marzo,"113,801","137,054","128,157","131,814","142,311","153,716","156,225","150,397","144,611","125,826","145,028","151,150","159,891","176,165","179,149","176,250","172,983","180,747","107,987","158,430","78,580",
Abril,"110,163","120,675","121,669","118,095","133,251","135,880","141,241","131,140","119,385","118,510","125,705","140,962","148,278","143,613","148,266","157,568","158,231","186,853","103,272","135,347","5,619",
Mayo,"93,533","104,267","103,921","98,966","103,214","110,734","113,987","107,449","105,912","105,783","102,645","110,099","122,570","129,366","133,240","146,832","136,468","149,001","105,803","136,177","9,871",
Junio,"82,851","93,915","98,825","101,531","110,960","115,111","114,075","108,562","106,732","104,636","105,599","111,194","131,867","129,930","136,868","154,359","147,450","178,404","122,643","127,615","42,754",
