Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"3,029","3,235","2,616","3,135","3,415","2,700","2,233","1,952","2,517","2,294","2,143","2,060","1,891","2,334","2,084","3,524","2,653","2,532","2,898","2,800","1,781",349
Agosto,"3,375","2,966","2,911","3,355","2,668","2,931","2,310","2,028","2,268","2,329","1,623","2,163","2,191","2,539","2,639","2,190","1,870","1,719","1,469","1,980","1,940",610
Septiembre,"1,468","1,513","1,298","1,891","1,433","1,253","1,525","1,243",952,"1,091",735,930,"1,003","1,512","1,242","1,120","1,518","1,236",991,"1,215",988,
Octubre,"1,559","1,774","1,309","1,864","1,528","1,557","1,051","1,101","1,125","1,130",950,"1,091","1,080","1,448","1,277","1,421","1,238","1,075",543,"1,419","1,053",
Noviembre,"1,979","2,020","2,020","2,576","1,837","2,056","1,613","1,725","1,735","1,531","1,052","1,065","1,202","2,006","1,656","1,520","1,395","1,114","1,508","1,452","1,364",
Diciembre,"2,010","2,728","2,747","3,168","2,726","2,910","2,002","2,771","2,630","2,013","1,987","1,805","1,625","1,870","2,495","2,617","2,339","2,512","1,054","1,922","2,009",
Enero,"3,001","3,032","3,512","4,189","3,893","3,338","2,865","2,917","2,861","2,494","2,401","2,174","2,095","2,228","2,589","2,646","2,338","1,858",974,"1,921","1,530",
Febrero,"3,620","3,057","3,827","4,346","3,961","3,322","4,008","4,073","3,447","2,663","2,512","2,647","2,547","2,522","2,477","2,469","2,449","2,158",738,"2,060","1,457",
Marzo,"3,474","3,746","4,494","4,312","3,609","3,624","3,158","3,542","3,179","2,783","2,343","2,416","2,576","3,186","3,635","2,885","3,271","2,562",855,"2,327",750,
Abril,"2,582","2,498","3,046","2,647","2,867","2,522","2,024","2,533","2,176","2,066","1,631","1,600","2,097","2,389","2,549","2,249","2,097","2,264","1,575","2,387",190,
Mayo,"2,700","2,480","2,843","2,779","2,205","1,856","1,656","1,780","1,843","1,777","1,419","1,345","1,806","1,994","2,280","2,109","1,794","1,643","1,484","1,923",142,
Junio,"2,674","2,243","2,932","2,724","2,488","2,361","1,741","2,145","2,039","1,855","1,777","1,783","1,790","2,104","2,516","2,158","2,118","2,153","2,016","1,633",380,
