Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"84,519","82,294","85,649","96,518","98,113","101,415","102,867","103,763","107,042","108,386","114,803","111,496","134,252","128,287","129,433","138,672","131,293","143,423","110,679","71,216","113,513","49,738","81,958","86,302","69,658"
Agosto,"51,105","49,322","49,691","62,883","61,610","57,908","54,940","51,474","61,540","65,882","59,402","62,893","60,688","79,012","83,772","83,735","76,840","67,183","66,932","49,783","61,878","21,320","54,683","60,903","60,260"
Septiembre,"43,913","45,374","40,989","47,952","42,015","50,876","48,361","51,353","49,652","40,673","53,321","58,596","60,271","74,164","59,791","58,967","65,687","73,916","43,625","38,436","39,712","29,934","42,458","50,359","39,903"
Octubre,"43,972","37,295","46,026","46,422","49,004","52,850","45,051","43,020","47,444","46,621","51,889","52,854","56,921","58,797","58,197","58,451","63,890","64,311","8,821","35,025","42,048","43,821","52,479","57,628","41,973"
Noviembre,"39,419","43,358","47,052","51,159","49,080","48,360","49,012","47,623","47,203","47,078","49,185","48,164","57,233","72,114","66,460","61,207","57,095","57,115","10,598","39,842","47,832","35,577","49,562","56,183","45,821"
Diciembre,"39,765","43,179","42,363","43,792","44,075","44,748","46,115","47,307","47,374","46,007","47,248","50,249","60,206","64,094","61,352","62,067","61,653","57,232","17,513","45,911","49,444","30,225","51,275","58,877","54,238"
Enero,"37,948","40,544","37,690","42,852","40,931","41,236","43,650","39,423","38,076","37,530","39,661","42,441","46,557","45,075","47,046","49,359","53,538","48,136","27,376","35,881","33,788","39,643","40,753","52,338","51,345"
Febrero,"34,541","32,197","37,315","39,996","37,580","36,528","39,742","38,883","37,121","35,573","38,489","41,777","42,474","41,319","40,441","42,733","44,148","48,484","24,377","30,908","37,637","43,940","43,209","50,099","51,983"
Marzo,"37,447","40,983","48,401","44,783","39,844","49,293","47,878","46,923","51,059","42,093","46,106","47,077","56,116","60,499","51,912","54,633","62,819","55,259","31,838","39,613","23,150","53,953","50,050","57,229","61,932"
Abril,"44,600","47,713","45,815","51,766","51,503","49,776","57,450","56,567","43,353","52,763","50,730","58,565","61,723","49,980","60,364","60,274","56,968","58,755","37,584","48,306","1,966","54,339","61,905","56,109","56,549"
Mayo,"47,165","49,421","56,560","59,309","50,209","51,835","51,771","51,496","54,762","57,178","54,138","57,314","71,270","71,040","75,285","76,862","70,735","67,501","45,198","51,137","4,305","62,616","60,807","55,790",
Junio,"66,786","74,237","79,891","72,921","73,763","72,773","77,340","78,568","76,942","76,024","76,520","84,312","109,727","107,614","110,370","104,300","105,737","99,794","59,141","94,116","29,286","69,075","72,939","62,749",
