Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"64,343","57,628","64,735","73,898","75,476","79,765","81,258","83,170","87,097","90,109","94,662","92,104","115,895","109,933","112,393","123,524","115,324","128,208","98,281","60,333","101,903","38,114"
Agosto,"39,678","37,539","38,700","49,878","49,760","47,036","46,419","42,896","53,231","57,077","51,112","55,693","55,020","70,083","74,605","74,387","69,342","60,893","59,579","42,304","54,316","16,444"
Septiembre,"35,652","35,229","32,912","39,525","34,528","43,170","41,861","43,767","42,958","35,730","46,939","51,853","54,309","66,018","53,961","53,399","60,398","67,375","39,661","33,886","35,504",
Octubre,"35,601","28,837","37,536","36,837","39,308","43,173","38,293","35,895","40,894","41,180","44,026","46,600","51,156","51,619","52,660","52,416","57,025","59,463","6,966","31,376","37,074",
Noviembre,"31,280","34,294","36,832","40,071","39,225","38,860","40,948","39,981","39,654","41,271","43,334","42,621","51,247","63,357","58,985","55,067","51,065","50,284","8,206","35,124","41,685",
Diciembre,"31,618","33,177","32,080","33,296","34,245","34,292","37,945","39,047","40,176","39,733","40,370","44,589","54,104","56,494","54,640","55,963","55,037","50,887","13,762","40,362","44,111",
Enero,"28,715","30,313","28,843","32,875","31,269","32,015","36,203","31,962","32,454","31,915","34,017","37,048","39,692","39,075","40,564","43,747","47,438","42,810","24,419","31,907","29,581",
Febrero,"25,960","23,749","28,440","31,020","28,677","27,892","32,548","32,236","31,076","30,522","33,094","35,896","36,157","34,952","34,848","37,797","38,117","41,870","21,273","26,803","32,331",
Marzo,"27,869","30,775","36,071","34,448","30,380","36,963","39,208","38,867","42,268","36,700","39,483","41,413","47,663","51,355","44,755","48,025","54,670","48,292","27,941","34,068","18,825",
Abril,"32,261","36,627","36,475","39,329","39,301","39,652","46,677","46,713","36,770","43,946","42,165","49,745","52,794","42,666","51,927","52,740","49,137","50,279","31,954","42,481","1,297",
Mayo,"36,686","39,221","44,981","46,862","39,693","40,901","43,143","43,483","46,082","48,589","45,948","51,020","62,691","62,463","66,627","68,784","62,461","60,387","39,522","45,171","3,175",
Junio,"51,956","58,517","62,099","57,512","58,751","56,906","63,696","64,730","64,163","62,808","65,346","75,125","96,691","94,332","99,820","96,693","94,268","89,217","51,109","85,152","25,695",
