Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"20,176","24,666","20,914","22,620","22,637","21,650","21,609","20,593","19,945","18,277","22,284","19,392","18,357","18,354","17,040","15,148","15,969","15,215","12,398","10,883","11,610","5,763"
Agosto,"11,427","11,783","10,991","13,005","11,850","10,872","8,521","8,578","8,309","8,805","8,290","7,200","5,668","8,929","9,167","9,348","7,498","6,290","7,353","7,479","7,562","1,381"
Septiembre,"8,261","10,145","8,077","8,427","7,487","7,706","6,500","7,586","6,694","4,943","6,382","6,743","5,962","8,146","5,830","5,568","5,289","6,541","3,964","4,550","4,208",
Octubre,"8,371","8,458","8,490","9,585","9,696","9,677","6,758","7,125","6,550","5,441","7,863","6,254","5,765","7,178","5,537","6,035","6,865","4,848","1,855","3,649","4,974",
Noviembre,"8,139","9,064","10,220","11,088","9,855","9,500","8,064","7,642","7,549","5,807","5,851","5,543","5,986","8,757","7,475","6,140","6,030","6,831","2,392","4,718","6,147",
Diciembre,"8,147","10,002","10,283","10,496","9,830","10,456","8,170","8,260","7,198","6,274","6,878","5,660","6,102","7,600","6,712","6,104","6,616","6,345","3,751","5,549","5,333",
Enero,"9,233","10,231","8,847","9,977","9,662","9,221","7,447","7,461","5,622","5,615","5,644","5,393","6,865","6,000","6,482","5,612","6,100","5,326","2,950","3,974","3,334",
Febrero,"8,581","8,448","8,875","8,976","8,903","8,636","7,194","6,647","6,045","5,051","5,395","5,881","6,317","6,367","5,593","4,936","6,031","6,614","3,100","4,105","4,232",
Marzo,"9,578","10,208","12,330","10,335","9,464","12,330","8,670","8,056","8,791","5,393","6,623","5,664","8,453","9,144","7,157","6,608","8,149","6,967","3,884","5,545","3,403",
Abril,"12,339","11,086","9,340","12,437","12,202","10,124","10,773","9,854","6,583","8,817","8,565","8,820","8,929","7,314","8,437","7,534","7,831","8,476","5,622","5,825",142,
Mayo,"10,479","10,265","11,579","12,447","10,516","10,934","8,628","8,013","8,680","8,589","8,190","6,294","8,579","8,577","8,658","8,078","8,274","7,114","5,673","5,966",685,
Junio,"14,830","15,720","17,792","15,409","15,012","15,867","13,644","13,838","12,779","13,216","11,174","9,187","13,036","13,282","10,550","10,607","11,469","10,577","8,031","8,964","2,835",
