Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"176,434","179,368","187,574","205,544","212,107","229,942","236,432","226,424","219,778","221,879","225,383","228,051","263,795","266,640","268,850","292,124","293,239","311,755","317,366","197,744","240,246","119,100","265,816","263,682","249,017"
Agosto,"136,344","147,660","150,438","171,473","176,685","179,669","180,781","166,875","171,442","180,159","170,001","174,860","179,049","205,423","216,771","225,029","221,114","209,798","236,278","163,894","205,587","65,408","211,070","214,532","223,641"
Septiembre,"104,617","114,191","95,734","121,678","111,897","125,124","129,538","129,037","119,048","104,383","131,500","139,114","139,844","163,196","141,249","147,631","163,984","184,030","133,562","118,990","143,983","78,852","153,162","154,159","152,975"
Octubre,"116,172","119,638","115,729","134,260","139,703","147,198","136,368","126,198","133,702","131,089","141,006","146,716","146,912","165,469","158,059","172,988","186,069","168,785","35,741","123,982","151,033","114,055","173,691","169,680","165,089"
Noviembre,"125,838","144,873","135,768","156,862","156,149","159,865","166,293","153,724","153,285","144,649","152,943","146,975","165,745","194,079","190,654","189,380","195,736","183,972","53,450","156,807","180,849","106,355","185,849","181,486","187,832"
Diciembre,"123,021","150,780","145,463","154,163","160,241","168,080","175,939","171,193","160,684","156,355","160,839","174,108","191,207","204,033","210,302","216,727","228,410","231,606","84,300","174,514","204,275","88,196","202,671","211,128","217,862"
Enero,"136,881","154,780","143,328","165,333","166,285","167,282","183,720","158,948","159,291","153,254","165,410","171,832","183,383","182,000","197,733","206,512","227,851","203,117","104,771","174,778","175,089","113,656","150,521","208,361","217,400"
Febrero,"147,009","145,855","150,686","164,003","169,439","170,965","182,838","170,596","167,667","153,600","170,218","180,852","182,461","180,818","189,132","205,350","208,886","199,019","106,554","167,692","185,991","142,418","182,546","207,459","222,952"
Marzo,"154,722","181,783","181,052","180,909","185,764","206,633","207,261","200,862","198,849","170,702","193,477","200,643","218,583","239,850","234,696","233,768","239,073","238,559","140,641","200,370","105,341","201,999","229,733","230,488","253,197"
Abril,"157,345","170,886","170,530","172,508","187,621","188,178","200,715","190,240","164,914","173,339","178,066","201,127","212,098","195,982","211,179","220,091","217,296","247,872","142,389","186,040","10,760","204,596","237,570","224,422","219,160"
Mayo,"143,398","156,168","163,324","161,054","155,628","164,425","167,414","160,725","162,517","164,738","158,202","168,758","195,646","202,400","210,805","225,803","208,997","218,145","152,476","189,237","17,008","226,459","220,831","223,245",
Junio,"152,311","170,395","181,648","177,176","187,211","190,245","193,156","189,275","185,713","182,515","183,896","197,289","243,384","239,648","249,754","260,817","255,305","280,351","183,797","223,364","73,432","240,069","232,638","237,337",
