Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"153,229","151,467","164,044","179,789","186,055","205,592","212,590","203,879","197,316","201,308","203,099","206,599","243,547","245,952","249,726","273,452","274,617","294,008","302,070","184,061","226,855","99,234"
Agosto,"121,542","132,911","136,536","155,113","162,167","165,866","169,950","156,269","160,865","169,025","160,088","165,497","171,190","193,955","204,965","213,491","211,746","201,789","227,456","154,435","196,085","53,100"
Septiembre,"94,888","102,533","86,359","111,360","102,977","116,165","121,513","120,208","111,402","98,349","124,383","131,441","132,879","153,538","134,177","140,943","157,177","176,253","128,607","113,225","138,787",
Octubre,"106,242","109,406","105,930","122,811","128,479","135,964","128,559","117,972","126,027","124,518","132,193","139,371","140,067","156,843","151,245","165,532 ","177,966","162,862","33,343","118,914","145,006",
Noviembre,"115,720","133,789","123,528","143,198","144,457","148,309","156,616","144,357","144,001","137,311","146,040","140,367","158,557","183,316","181,523","181,720","188,311","176,027","49,550","150,637","173,338",
Diciembre,"112,864","138,050","132,433","140,499","147,685","154,714","165,767","160,162","150,856","148,068","151,974","166,643","183,480","194,563","201,095","208,006","219,455","222,749","79,495","167,043","196,933",
Enero,"124,647","141,517","130,969","151,167","152,730","154,723","173,408","148,570","150,808","145,145","157,365","164,265","174,423","173,772","188,662","198,254","219,413","195,933","100,841","168,883","167,694",
Febrero,"134,808","134,350","137,984","150,681","156,575","159,007","171,636","159,876","158,175","145,886","162,311","172,324","173,597","171,929","181,062","197,945","200,406","190,247","102,721","161,527","177,063",
Marzo,"141,670","167,829","164,228","166,262","172,691","190,679","195,433","189,264","186,879","162,526","184,511","192,653","207,554","227,520","223,904","224,275","227,653","229,030","135,928","192,498","97,405",
Abril,"142,424","157,302","158,144","157,424","172,552","175,532","187,918","177,853","156,155","162,456","167,870","190,707","201,072","186,279","200,193","210,308","207,368","237,132","135,226","177,828","6,916",
Mayo,"130,219","143,488","148,902","145,828","142,097","151,635","157,130","150,932","151,994","154,372","148,593","161,119","185,261","191,829","199,867","215,616","198,929","209,388","145,325","181,348","13,046",
Junio,"134,807","152,432","160,924","159,043","169,711","172,017","177,771","173,292","170,895","167,444","170,945","186,319","228,558","224,262","236,688","248,052","241,718","267,621","173,752","212,767","68,449",
