Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Julio,"23,205","27,901","23,530","25,755","26,052","24,350","23,842","22,545","22,462","20,571","22,284","21,452","20,248","20,688","19,124","18,672","18,622","17,747","15,296","13,683","13,391","6,112"
Agosto,"14,802","14,749","13,902","16,360","14,518","13,803","10,831","10,606","10,577","11,134","9,913","9,363","7,859","11,468","11,806","11,538","9,368","8,009","8,822","9,459","9,502","1,991"
Septiembre,"9,729","11,658","9,375","10,318","8,920","8,959","8,025","8,829","7,646","6,034","7,117","7,673","6,965","9,658","7,072","6,688","6,807","7,777","4,955","5,765","5,196",
Octubre,"9,930","10,232","9,799","11,449","11,224","11,234","7,809","8,226","7,675","6,571","8,813","7,345","6,845","8,626","6,814","7,456","8,103","5,923","2,398","5,068","6,027",
Noviembre,"10,118","11,084","12,240","13,664","11,692","11,556","9,677","9,367","9,284","7,338","6,903","6,608","7,188","10,763","9,131","7,660","7,425","7,945","3,900","6,170","7,511",
Diciembre,"10,157","12,730","13,030","13,664","12,556","13,366","10,172","11,031","9,828","8,287","8,865","7,465","7,727","9,470","9,207","8,721","8,955","8,857","4,805","7,471","7,342",
Enero,"12,234","13,263","12,359","14,166","13,555","12,559","10,312","10,378","8,483","8,109","8,045","7,567","8,960","8,228","9,071","8,258","8,438","7,184","3,924","5,895","4,864",
Febrero,"12,201","11,505","12,702","13,322","12,864","11,958","11,202","10,720","9,492","7,714","7,907","8,528","8,864","8,889","8,070","7,405","8,480","8,772","3,838","6,165","5,689",
Marzo,"13,052","13,954","16,824","14,647","13,073","15,954","11,828","11,598","11,970","8,176","8,966","8,080","11,029","12,330","10,792","9,493","11,420","9,529","4,739","7,872","4,153",
Abril,"14,921","13,584","12,386","15,084","15,069","12,646","12,797","12,387","8,759","10,883","10,196","10,420","11,026","9,703","10,986","9,783","9,928","10,740","7,197","8,212",332,
Mayo,"13,179","12,680","14,422","15,226","12,721","12,790","10,284","9,793","10,523","10,366","9,609","7,639","10,385","10,571","10,938","10,187","10,068","8,757","7,157","7,889",827,
Junio,"17,504","17,963","20,724","18,133","17,500","18,228","15,385","15,983","14,818","15,071","12,951","10,970","14,826","15,386","13,066","12,765","13,587","12,730","10,047","10,597","3,215",
