Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,150.7,151.4,148.6,150.6,154.2,157.3,158.7,155.9,154.8,148.9,140.9,135.2,132.8,134.8,129.9,126.2,125.9,123.8,120.7,122.4,119.1,115.3,118.4,123.9,127.3
Agosto,150.5,151.8,148.9,151.2,154.2,158.5,158.8,155.5,154.3,148.5,140.3,134.8,132.2,134.4,129.6,126.4,124.9,123.5,120.7,122.4,118.4,117.9,117.7,124.1,128.0
Septiembre,150.1,151.6,149.3,152.0,155.1,156.8,158.4,155.9,153.6,147.1,139.5,134.6,132.4,134.4,129.8,125.6,124.5,123.4,113.9,121.6,118.2,119.0,118.5,122.4,128.6
Octubre,149.7,151.3,149.0,152.3,155.4,156.6,157.9,156.4,152.4,146.6,138.3,135.3,133.1,134.3,130.1,126.1,124.7,123.3,101.8,120.9,119.0,119.1,119.3,122.8,128.6
Noviembre,149.0,151.2,148.9,152.7,154.8,155.6,158.2,156.8,151.8,145.5,137.8,134.9,134.4,134.5,129.9,125.7,125.2,122.5,96.0,121.1,120.4,118.6,121.4,122.5,128.3
Diciembre,148.5,150.7,148.4,151.6,154.9,157.2,158.3,156.8,151.3,145.5,137.7,134.3,134.5,134.0,129.5,126.3,125.1,122.3,100.9,120.7,121.4,119.2,122.6,124.5,126.5
Enero,148.8,150.2,148.9,151.8,155.0,156.8,158.6,156.1,151.2,145.3,137.3,133.7,134.4,134.0,128.6,126.2,124.9,121.2,112.6,120.7,120.8,120.1,123.8,124.5,125.9
Febrero,149.4,150.4,148.9,150.6,156.1,157.2,157.6,155.6,150.8,144.2,137.4,133.8,134.5,133.4,128.2,126.9,124.5,121.6,117.6,120.1,120.6,120.8,123.3,124.9,124.7
Marzo,149.3,150.9,149.6,152.1,155.8,157.6,157.1,154.8,150.7,143.0,137.4,134.0,134.3,132.7,128.3,127.0,124.4,121.0,119.3,120.6,118.1,120.2,123.7,125.6,124.6
Abril,149.0,150.5,149.5,152.0,155.9,158.5,156.9,154.1,150.2,142.1,137.2,133.6,134.3,131.9,128.8,127.2,124.1,121.1,120.1,120.3,113.1,119.8,123.2,126.4,123.9
Mayo,148.9,149.6,150.1,153.4,155.5,159.1,156.8,154.0,149.9,141.6,136.7,132.9,134.4,131.3,128.0,127.2,124.1,120.8,120.9,120.1,109.9,119.7,124.0,126.6,
Junio,150.1,148.6,150.2,153.1,156.6,159.2,156.4,154.1,149.8,141.3,135.7,132.7,134.9,130.3,127.6,126.6,123.8,121.0,122.0,119.5,110.4,119.0,123.8,126.9,
