Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,85.796,85.522,86.451,88.542,89.678,91.349,93.753,95.611,101.028,108.934,114.055,114.976,117.741,120.180,121.560,124.619,129.598,128.189,129.668,130.888,131.238,130.528,133.086,145.258,156.235
Agosto,85.523,85.598,86.707,88.753,89.984,91.253,93.891,96.539,103.082,111.881,114.425,115.257,118.548,120.406,122.636,125.400,129.796,128.872,129.685,130.593,131.676,130.550,134.319,147.190,156.768
Septiembre,85.619,85.691,86.657,88.818,90.073,91.721,94.356,97.429,103.845,112.887,114.847,114.992,118.783,120.285,122.953,125.982,130.052,128.974,130.000,130.600,131.590,130.416,135.674,149.472,157.770
Octubre,85.587,86.041,86.860,88.933,90.072,92.090,95.295,98.020,104.230,113.648,115.352,115.438,119.096,120.870,123.015,125.979,130.168,129.304,130.000,130.752,130.174,130.687,136.864,150.391,158.102
Noviembre,85.364,86.319,86.831,89.067,90.279,93.579,95.227,97.335,104.643,113.933,113.809,115.353,119.637,121.316,122.827,126.047,130.327,129.359,128.587,130.323,129.820,130.932,137.992,152.165,157.964
Diciembre,85.467,86.297,86.867,88.633,90.245,94.021,95.677,100.000,104.172,114.317,114.723,115.271,119.410,121.037,122.668,126.155,130.449,128.360,129.546,130.469,129.725,131.096,138.385,153.577,157.802
Enero,85.413,86.326,86.913,88.976,90.756,93.142,96.616,99.927,105.714,114.111,114.413,115.529,119.555,120.914,122.695,126.164,130.258,128.483,132.213,130.380,129.018,131.174,138.876,154.356,157.727
Febrero,85.575,86.469,87.252,89.145,90.774,92.934,96.100,99.307,105.829,114.335,115.062,116.150,119.696,121.321,122.546,125.510,129.471,129.119,131.549,130.545,129.826,131.365,140.484,154.825,158.772
Marzo,85.603,85.827,87.586,89.438,90.713,93.002,95.973,99.984,106.603,114.570,115.088,116.996,119.565,121.368,123.320,125.586,128.807,128.963,130.831,130.939,129.589,130.960,140.686,154.894,159.563
Abril,85.541,86.377,87.528,89.034,90.753,93.034,95.171,100.236,107.159,113.479,115.067,117.221,119.882,121.665,123.565,125.359,128.145,129.407,130.987,131.092,129.589,131.404,142.583,154.692,160.000
Mayo,85.711,86.641,87.374,89.152,90.970,93.258,95.581,100.561,107.590,113.744,114.750,117.230,119.939,121.399,123.932,125.367,128.111,129.620,130.933,131.143,129.589,131.478,143.453,154.784,159.995
Junio,85.515,86.744,87.696,89.443,91.111,93.338,95.432,101.080,108.048,114.205,115.025,117.355,120.032,121.443,124.214,125.791,128.277,129.552,130.916,131.036,130.824,132.201,144.349,154.774,
