Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,78.648,83.029,82.015,81.305,81.768,82.580,90.669,97.764,101.899,113.553,109.892,109.486,113.616,113.277,114.431,114.850,111.848,111.317,112.826,113.447,114.453,115.342,116.727,120.334,122.616
Agosto,79.565,82.202,80.619,81.102,82.068,83.578,90.971,97.970,101.054,111.906,109.359,110.025,115.509,114.588,114.307,114.718,112.958,110.952,112.523,114.229,114.557,115.368,116.888,120.399,122.705
Septiembre,79.682,82.339,80.939,81.709,81.959,84.650,91.139,99.395,102.016,112.368,110.058,110.091,113.981,114.120,115.067,115.155,112.055,111.130,113.810,114.183,114.822,115.757,117.327,120.842,122.980
Octubre,80.279,83.153,81.161,82.486,81.742,84.673,92.928,98.135,104.250,111.383,109.631,110.992,112.579,114.195,115.909,115.484,112.310,111.829,113.810,112.309,114.880,115.732,117.665,121.045,123.227
Noviembre,79.429,83.741,81.007,82.821,82.012,86.077,95.934,97.721,106.254,108.816,110.298,110.113,112.861,113.822,115.202,114.475,113.431,111.481,113.323,113.387,114.795,115.791,117.819,121.102,123.154
Diciembre,79.790,84.322,81.367,82.190,81.971,86.836,96.641,100.000,106.361,106.372,110.157,109.133,113.060,114.048,113.113,112.763,111.355,112.462,113.259,113.612,114.748,115.759,118.086,121.218,123.289
Enero,80.583,83.361,80.863,82.396,81.588,86.585,95.646,100.136,108.010,106.474,110.664,110.877,114.565,113.570,113.949,113.002,111.159,111.653,113.364,113.315,115.065,115.865,118.137,121.465,123.826
Febrero,81.086,82.359,80.922,82.877,82.328,86.263,95.640,100.669,107.712,107.977,110.685,112.551,113.661,116.065,113.911,112.663,111.644,113.137,113.473,113.619,115.012,115.946,118.451,121.692,124.049
Marzo,81.589,82.158,80.455,83.075,82.446,87.726,94.791,100.993,107.165,108.003,111.556,112.898,113.487,116.684,114.761,112.347,111.005,112.570,113.869,113.820,115.378,116.221,118.967,122.170,124.578
Abril,80.666,82.419,80.739,82.859,82.721,89.612,95.581,101.086,108.394,108.172,110.850,113.650,115.742,116.866,114.694,112.633,111.157,112.891,113.818,114.316,115.378,116.411,119.488,122.296,124.567
Mayo,80.740,83.034,81.790,82.695,82.628,90.345,95.360,101.040,108.837,108.983,110.330,113.982,115.449,114.175,114.314,112.396,110.630,112.560,113.663,114.285,115.378,116.388,119.762,122.313,124.689
Junio,82.166,83.092,81.378,82.671,82.596,90.255,95.926,100.986,112.043,109.352,110.882,113.808,114.996,114.155,114.664,111.985,111.266,112.761,113.564,114.428,115.376,116.514,120.089,122.520,
