Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,76.237,77.630,82.147,84.963,87.345,89.964,94.203,98.856,100.259,103.927,113.462,117.360,123.905,129.555,133.660,138.775,143.789,148.258,151.356,153.356,155.089,156.644,157.450,159.938,160.975
Agosto,76.291,77.664,82.134,85.155,87.663,89.963,94.244,98.938,100.544,104.052,113.384,117.462,124.026,129.564,133.832,138.855,144.500,148.360,151.217,153.669,155.224,156.615,157.291,159.981,161.122
Septiembre,76.236,77.874,82.402,85.305,87.638,90.250,94.557,99.191,100.710,104.070,113.449,117.785,124.111,129.835,134.197,139.127,144.897,148.454,151.170,153.738,155.230,156.657,157.354,160.085,161.195
Octubre,76.342,77.940,82.278,85.308,87.756,90.324,94.515,99.240,100.841,104.216,113.804,117.987,124.180,129.861,134.600,139.859,145.020,148.478,151.170,153.913,155.144,156.796,157.245,160.136,161.430
Noviembre,76.477,78.075,82.302,85.352,87.845,90.274,94.727,99.259,100.796,104.316,113.687,117.932,124.195,129.916,134.729,140.177,145.364,148.630,151.091,154.083,155.092,156.715,157.283,160.213,161.441
Diciembre,76.468,78.230,82.462,85.475,87.905,90.329,94.553,100.000,100.819,104.406,113.835,118.060,124.324,130.089,135.158,140.276,145.426,148.491,151.282,154.029,154.943,156.685,157.301,160.357,161.533
Enero,76.683,79.502,82.597,86.627,88.352,91.415,94.900,100.138,101.434,104.852,114.285,120.214,124.794,130.860,136.403,140.817,145.655,150.341,151.630,154.082,156.308,157.264,159.906,160.280,166.926
Febrero,76.896,81.660,84.285,86.719,89.290,91.412,94.973,100.330,103.121,104.991,114.643,120.323,124.917,131.147,136.687,141.349,145.885,150.548,151.739,154.608,156.452,157.197,159.883,160.069,166.613
Marzo,77.065,81.962,84.772,86.756,89.477,91.536,95.422,100.428,103.104,112.638,117.232,123.418,128.935,132.663,137.704,142.597,147.314,152.128,152.860,154.750,156.359,157.267,159.787,160.215,166.809
Abril,77.305,82.073,84.766,86.957,89.726,93.161,96.571,100.374,103.425,113.031,117.393,123.557,128.994,132.945,138.103,143.085,147.436,151.586,153.056,154.950,156.359,157.288,159.899,160.583,166.781
Mayo,77.274,82.031,84.720,86.986,89.908,93.109,98.712,100.233,103.528,113.082,117.418,123.653,129.025,132.990,138.098,143.404,147.546,151.392,152.945,155.099,156.359,157.291,159.890,160.841,166.920
Junio,77.561,82.183,84.821,87.345,89.897,93.286,98.849,100.437,103.809,113.339,117.530,123.735,129.181,133.336,138.492,143.526,148.030,151.580,152.982,155.166,156.381,157.225,159.900,160.971,
