Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,89.900,91.542,92.648,93.260,94.311,94.660,96.091,98.677,100.496,103.492,102.860,105.482,107.183,107.903,108.524,110.546,114.015,114.670,114.840,117.326,118.431,118.206,120.130,123.729,126.004
Agosto,89.832,91.418,92.554,93.242,94.240,94.463,96.004,98.656,100.365,102.967,102.371,105.603,106.888,108.007,108.351,110.423,114.047,114.731,114.926,117.285,118.315,117.983,120.487,123.552,125.945
Septiembre,90.357,91.990,92.627,93.914,94.569,95.411,97.810,99.349,100.248,103.162,103.544,105.592,106.893,107.679,108.559,110.436,114.120,114.598,114.943,117.235,118.298,118.039,120.823,123.914,126.151
Octubre,90.306,91.677,92.717,93.891,94.588,95.461,97.842,99.386,99.961,102.956,104.867,105.469,107.341,107.664,108.686,110.534,113.920,115.056,114.943,117.479,118.474,119.133,120.781,124.574,126.698
Noviembre,90.315,91.704,92.770,93.866,94.642,95.408,97.869,99.428,99.794,102.988,104.947,105.643,107.187,107.654,108.781,110.566,113.951,114.881,114.447,117.542,118.487,119.152,120.813,124.649,126.662
Diciembre,90.237,91.778,92.909,93.833,94.632,95.623,97.968,100.000,99.857,103.111,104.696,105.462,107.115,107.601,108.913,110.471,114.198,114.910,114.014,117.439,118.437,119.152,120.982,124.706,126.666
Enero,90.062,91.710,92.956,93.673,94.489,95.673,97.962,100.421,100.199,103.161,104.758,106.556,107.589,107.974,109.126,110.510,114.027,114.568,114.173,117.626,118.650,119.245,121.359,124.462,126.553
Febrero,90.117,91.700,92.979,93.920,94.599,95.697,98.179,100.503,100.537,103.258,104.821,106.476,107.393,107.964,109.241,110.566,113.963,114.941,114.258,117.504,118.667,119.206,121.406,124.568,126.715
Marzo,90.620,91.793,93.125,94.180,94.685,95.997,98.616,100.442,100.897,102.598,104.769,106.625,107.334,108.029,109.150,110.734,113.846,114.832,114.186,117.550,118.467,119.203,121.286,124.921,126.986
Abril,90.769,91.734,93.079,94.007,94.640,96.037,98.576,99.525,101.329,102.579,104.944,106.631,107.651,108.001,109.253,110.938,114.861,114.889,114.362,117.558,118.467,119.550,121.343,125.013,127.363
Mayo,90.737,91.717,93.061,94.151,94.598,96.007,98.646,99.579,101.487,103.002,104.709,106.684,107.736,107.976,109.276,110.920,114.841,115.011,114.338,117.547,118.467,119.586,121.221,124.869,127.369
Junio,91.486,92.689,93.464,94.439,94.671,96.324,98.717,99.604,101.930,102.829,104.507,106.618,107.510,108.266,109.291,110.877,114.793,114.833,114.159,117.774,118.536,119.515,121.544,125.243,
