Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,98.347,98.213,98.560,97.628,95.728,94.761,94.662,97.533,99.327,102.486,107.365,107.856,107.174,109.924,110.437,109.259,113.406,113.901,114.136,113.127,113.354,113.231,115.205,117.730,120.336
Agosto,98.074,97.783,98.225,97.431,95.395,94.617,94.854,97.851,100.827,102.835,108.044,107.936,107.639,109.639,110.191,109.459,113.539,114.055,114.552,113.164,113.987,112.743,115.480,117.853,120.825
Septiembre,98.155,97.528,98.246,97.037,95.618,94.588,95.735,97.545,100.823,102.420,107.642,107.767,107.725,109.744,109.491,109.314,113.754,113.783,114.256,113.242,113.809,112.702,115.572,118.035,120.847
Octubre,98.190,97.425,98.281,96.901,95.009,94.599,95.875,96.774,101.047,103.946,107.781,108.341,107.261,110.415,109.284,109.160,113.997,114.250,114.293,113.418,113.888,113.022,115.915,118.310,122.816
Noviembre,98.174,97.405,97.723,97.399,95.211,94.050,95.259,96.522,100.525,104.505,108.039,107.278,106.555,110.181,110.234,108.934,113.514,113.870,113.186,113.247,113.896,113.603,115.935,118.251,123.035
Diciembre,98.025,97.132,97.617,96.931,95.000,94.089,94.741,100.000,100.165,102.901,107.623,106.698,106.350,109.935,109.384,108.661,113.223,113.394,112.962,113.124,113.355,114.112,115.914,118.653,123.195
Enero,97.845,97.056,97.590,96.813,95.015,93.527,94.866,99.997,101.535,104.512,107.749,107.162,107.389,109.861,109.109,108.796,113.039,113.547,113.040,112.796,113.345,114.240,116.209,118.840,123.283
Febrero,97.676,97.107,97.572,97.163,95.014,93.596,96.194,99.666,101.633,104.610,108.548,107.855,107.904,109.788,109.698,109.145,113.346,113.811,113.304,113.218,113.446,114.502,116.292,118.892,123.677
Marzo,97.817,97.082,97.494,96.933,95.073,93.752,96.159,99.635,101.656,105.369,107.630,108.490,107.845,110.121,109.585,109.232,113.263,113.893,113.164,113.436,113.471,114.435,116.187,119.053,123.543
Abril,97.589,96.572,97.791,96.801,94.818,94.394,96.748,99.655,101.510,105.519,107.288,108.006,109.148,109.677,109.247,108.887,113.073,113.946,113.190,113.337,113.471,114.346,116.382,119.731,122.828
Mayo,97.378,97.801,98.050,96.148,94.690,94.375,97.216,99.868,100.767,105.494,107.420,107.289,109.210,109.741,109.229,108.451,113.145,113.806,113.293,113.468,113.471,114.468,116.952,119.808,122.961
Junio,98.063,98.045,97.828,95.953,94.823,94.450,97.180,99.175,101.117,106.022,107.161,107.137,109.465,109.821,109.448,108.664,113.953,114.348,112.892,113.410,113.473,114.921,117.327,120.306,
