Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,78.741,82.334,83.433,85.393,84.866,86.158,89.737,95.302,101.301,102.893,107.730,108.322,108.460,109.316,111.144,112.991,114.243,114.785,120.973,124.129,127.537,123.254,124.923,130.542,140.052
Agosto,78.882,82.393,83.525,85.344,84.842,86.148,90.103,95.706,101.458,102.893,107.442,108.238,108.507,109.631,112.533,113.030,114.515,114.923,120.976,124.081,125.933,123.268,124.958,131.706,140.576
Septiembre,78.934,82.582,83.355,85.338,84.829,86.247,91.183,96.139,101.598,102.900,107.613,108.202,108.555,109.553,112.918,111.654,115.012,114.995,120.957,125.096,126.461,123.315,125.138,133.244,141.318
Octubre,78.939,82.691,83.353,85.105,84.765,86.332,91.641,96.432,101.482,103.104,108.221,108.354,108.677,110.016,112.984,111.709,115.058,114.912,120.957,124.643,124.885,123.747,125.289,136.663,141.989
Noviembre,79.047,83.054,83.478,85.175,84.819,86.442,92.257,96.653,101.656,103.349,108.168,108.440,108.710,109.947,113.354,111.756,115.041,114.984,120.852,124.632,123.996,123.993,125.422,136.818,142.109
Diciembre,79.257,83.340,83.315,85.241,84.577,87.126,92.942,100.000,101.713,103.361,108.273,108.417,108.717,109.752,113.384,111.718,115.052,115.904,122.076,125.015,124.145,123.997,125.462,136.482,142.554
Enero,79.297,83.648,83.138,85.270,84.577,87.348,93.233,100.183,101.968,103.414,108.186,108.399,108.663,110.072,113.421,111.681,115.046,116.022,122.336,126.510,124.171,123.780,126.103,136.867,142.640
Febrero,79.581,83.582,82.861,85.238,85.198,87.597,93.563,100.718,101.911,103.573,108.084,108.299,108.664,110.154,113.343,111.787,114.740,116.044,122.306,126.457,124.157,124.024,126.398,137.893,142.633
Marzo,80.188,83.721,82.743,84.995,85.488,87.868,94.044,100.788,101.997,103.681,108.114,108.353,108.816,110.140,113.391,111.947,114.721,116.028,122.280,126.598,124.248,124.090,127.714,139.362,142.719
Abril,80.452,83.516,82.635,84.976,85.580,88.579,94.374,100.903,102.022,103.734,108.315,108.307,108.841,110.076,112.938,112.222,114.802,115.811,122.908,127.105,124.248,124.050,128.275,139.576,142.941
Mayo,80.801,83.443,82.843,84.950,85.826,88.865,94.849,101.003,102.065,103.692,108.381,108.323,108.917,110.042,112.788,112.082,114.727,121.402,122.732,127.533,124.248,124.146,128.972,139.711,142.953
Junio,81.587,83.274,84.619,84.876,85.942,89.359,95.232,101.007,102.411,107.969,108.482,108.435,108.949,110.044,112.841,111.851,114.775,121.303,123.515,127.578,122.708,124.537,128.953,139.848,
