Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,143.900,136.234,127.120,120.082,112.462,108.020,102.267,97.557,97.053,99.663,99.730,98.069,94.516,93.273,94.669,91.874,94.488,92.953,89.703,88.603,84.923,85.090,84.766,86.089,86.643
Agosto,143.131,135.694,126.618,119.518,111.194,107.089,101.469,96.986,97.467,99.767,100.083,98.025,94.750,95.303,93.825,93.093,92.064,91.108,90.678,86.095,86.611,84.901,84.624,85.994,87.187
Septiembre,143.034,135.015,125.893,118.822,110.992,106.554,100.760,96.530,97.940,99.748,100.062,97.235,95.244,94.875,93.666,93.281,93.906,90.693,90.898,86.713,86.245,83.667,84.606,86.411,86.984
Octubre,141.719,134.274,124.735,118.331,110.408,105.347,100.758,96.116,97.334,100.010,101.384,97.941,95.531,95.168,94.505,92.880,94.266,91.509,90.898,87.346,86.646,84.360,84.763,87.077,86.901
Noviembre,141.129,133.843,125.215,117.208,110.433,105.410,100.673,95.777,98.771,99.421,100.544,97.669,94.205,95.243,92.796,92.248,94.867,90.840,88.354,86.815,85.827,85.514,84.686,87.017,87.236
Diciembre,140.318,134.012,124.374,116.526,108.410,104.492,99.368,100.000,97.899,101.059,100.728,96.396,95.145,93.484,92.814,93.220,94.136,88.819,86.742,88.243,85.412,84.917,84.863,86.471,87.563
Enero,140.059,133.696,124.549,116.586,109.614,105.197,100.301,99.643,99.768,102.741,101.039,97.266,95.228,93.297,92.501,91.030,93.396,89.983,87.759,85.878,84.065,84.691,85.476,86.677,88.777
Febrero,139.653,132.664,123.130,115.057,108.879,104.724,99.063,99.573,99.841,103.963,102.049,96.550,96.036,94.906,93.310,93.862,93.731,92.538,88.772,87.156,84.434,84.774,85.385,85.619,88.348
Marzo,139.509,130.589,122.869,114.595,107.555,103.233,98.546,99.233,99.014,103.810,101.023,97.221,96.588,95.689,93.965,93.080,93.812,93.278,87.681,86.200,83.458,85.370,85.483,87.136,88.555
Abril,137.992,129.440,121.897,113.511,107.157,102.845,98.234,98.444,99.719,103.441,100.206,96.783,96.133,95.319,93.869,92.215,94.652,92.204,87.809,87.075,83.458,85.234,85.827,87.614,88.385
Mayo,137.496,128.800,120.906,112.372,106.679,102.881,97.568,98.394,99.533,100.902,99.204,96.047,95.223,94.690,92.047,91.899,94.143,91.146,87.735,88.159,83.458,84.661,85.392,87.578,88.026
Junio,136.470,127.870,120.289,111.447,107.398,102.424,97.205,97.053,99.499,100.404,99.324,95.201,94.808,94.422,91.283,92.092,93.168,90.845,87.627,87.630,83.494,84.646,85.290,86.407,
