Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,81.810,85.045,84.914,85.261,85.695,88.480,92.811,99.194,102.346,109.731,108.371,110.236,113.986,114.235,116.380,117.861,117.556,115.958,117.897,119.923,120.237,118.566,121.971,130.692,133.743
Agosto,82.091,84.599,84.277,85.210,85.923,88.585,93.328,99.881,102.486,109.921,108.550,110.565,114.976,115.145,117.005,117.529,117.554,115.866,118.177,119.909,120.413,118.541,122.489,130.456,134.365
Septiembre,82.282,84.606,84.365,85.446,86.193,88.988,96.205,99.850,102.404,109.852,108.986,110.121,114.551,115.529,117.079,117.514,116.904,115.970,118.923,119.870,119.915,118.663,122.831,130.371,134.652
Octubre,82.428,84.974,84.413,85.725,85.972,89.202,97.074,98.174,103.212,109.548,108.993,110.663,113.873,115.754,117.075,117.675,116.786,116.329,118.925,119.494,119.520,118.931,123.255,131.351,134.919
Noviembre,82.110,85.232,83.960,85.960,86.056,90.073,96.665,97.689,104.189,107.471,109.485,110.593,113.984,115.719,116.682,117.157,116.578,116.522,117.967,119.347,119.589,119.038,124.121,131.923,134.417
Diciembre,82.476,85.387,83.714,85.646,86.109,90.363,95.676,100.000,104.248,105.666,109.792,110.371,113.976,115.289,116.224,116.305,116.120,116.646,117.971,118.672,119.300,119.202,124.157,131.651,134.262
Enero,82.715,85.025,83.502,85.708,86.220,89.920,95.840,100.182,105.302,104.876,109.995,111.346,114.263,115.163,116.529,115.359,115.994,116.834,119.034,118.150,119.280,119.381,124.581,131.775,134.643
Febrero,82.990,85.114,83.771,86.260,86.757,89.806,96.093,100.014,105.091,105.948,110.071,112.072,114.538,116.457,116.262,114.956,115.518,117.412,119.164,118.361,119.204,119.779,125.379,132.685,135.185
Marzo,83.584,84.989,83.754,86.681,86.939,90.350,95.692,101.248,105.573,106.632,110.786,113.162,114.946,116.956,116.942,115.594,114.936,117.307,119.133,118.886,119.068,120.274,126.381,132.777,136.136
Abril,83.764,84.889,84.434,86.441,87.343,92.017,97.304,101.590,106.172,106.731,111.013,113.771,116.034,116.640,117.022,115.454,115.246,117.390,119.186,119.697,119.068,120.727,128.068,133.124,136.398
Mayo,83.603,85.462,84.947,85.981,87.602,92.344,98.475,102.121,107.024,106.966,110.726,114.281,115.820,115.808,116.934,115.773,115.330,117.974,119.249,119.891,119.068,120.893,128.660,133.147,136.500
Junio,84.429,85.695,85.097,85.871,88.530,92.317,98.297,102.188,108.768,108.374,110.574,114.173,115.231,115.700,117.353,115.912,116.124,118.344,119.483,120.291,118.237,121.389,130.172,133.220,
