Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,69.050,77.360,76.846,76.846,78.134,86.928,92.477,106.306,106.661,114.648,103.373,109.176,116.590,113.751,118.620,119.746,113.501,107.591,109.995,114.622,113.152,107.394,116.171,132.897,127.776
Agosto,69.630,76.452,75.540,76.758,78.697,86.648,94.143,107.933,105.812,114.381,104.399,109.690,117.868,115.466,119.939,117.521,112.241,107.157,111.200,114.423,113.621,107.389,116.921,129.583,129.364
Septiembre,70.095,76.163,75.738,77.042,79.785,86.555,104.513,105.240,103.605,112.687,104.804,108.148,117.340,118.370,118.993,116.937,109.626,107.391,112.670,113.766,111.240,107.797,116.437,125.792,128.997
Octubre,70.319,76.659,75.723,77.482,79.281,87.214,105.162,99.116,104.417,111.416,103.947,108.747,115.553,118.337,117.776,117.143,108.660,107.569,112.670,113.970,111.424,108.076,116.615,127.081,128.839
Noviembre,70.126,76.748,73.965,78.076,79.067,87.997,100.226,98.178,105.780,105.136,106.880,109.579,115.551,118.192,117.033,116.025,106.363,108.819,111.307,112.715,112.644,107.858,118.921,127.642,126.829
Diciembre,71.260,76.646,72.706,77.975,79.826,87.809,95.031,100.000,106.517,99.739,107.434,110.077,115.376,116.833,117.432,114.054,106.608,109.327,110.346,109.187,111.713,108.457,118.338,125.194,125.920
Enero,71.517,75.791,72.314,77.463,79.919,86.677,95.481,100.547,106.880,95.928,107.887,111.124,114.524,116.585,117.552,110.126,106.610,110.215,111.720,107.218,111.842,108.978,118.501,124.566,125.550
Febrero,71.900,76.776,73.022,79.243,80.994,86.704,96.856,99.665,105.758,98.239,107.231,111.869,116.266,118.601,116.345,108.703,104.861,109.846,112.528,107.268,110.712,110.236,119.847,127.446,126.638
Marzo,73.421,77.292,73.082,80.644,81.725,87.410,95.910,103.809,107.619,99.108,108.971,114.253,117.204,119.446,117.222,111.347,103.444,109.677,112.648,108.904,110.185,112.247,122.779,126.274,129.129
Abril,75.278,76.435,75.832,80.465,83.091,91.621,102.085,105.182,108.017,100.302,110.693,115.902,118.874,117.759,117.525,110.619,104.801,109.648,112.411,111.213,110.185,113.483,127.088,127.406,129.779
Mayo,74.367,77.901,77.074,78.887,84.018,91.899,106.118,107.074,110.727,100.544,110.520,117.843,118.336,117.470,117.589,112.282,105.816,110.168,112.984,111.585,110.185,114.158,128.181,127.309,130.089
Junio,76.027,78.664,77.130,78.262,87.543,91.569,104.807,107.191,113.835,103.807,109.056,117.579,116.327,116.900,118.686,112.900,108.235,111.569,113.858,113.215,106.174,115.214,133.168,127.378,
