Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Julio,160.0,167.3,181.0,187.9,189.7,199.3,198.8,191.2,192.1,198.0,197.2,187.9,197.3,197.6,198.4,193.8
Agosto,159.9,168.3,182.2,187.7,190.6,199.7,198.8,190.8,192.7,198.0,195.3,187.4,198.8,197.8,199.3,194.7
Septiembre,160.5,169.8,181.4,188.0,190.4,199.6,199.3,190.5,193.4,197.8,194.1,187.0,199.8,197.6,200.2,
Octubre,160.1,171.9,182.5,188.8,190.5,198.9,199.2,190.5,194.6,197.0,192.8,188.5,200.0,197.0,201.7,
Noviembre,160.0,173.6,183.8,190.0,191.0,198.6,199.1,190.8,195.4,196.9,191.5,191.5,200.5,196.8,201.1,
Diciembre,160.5,175.1,186.2,190.7,191.5,198.7,199.1,191.3,196.7,197.5,189.1,194.9,201.2,198.4,199.2,
Enero,160.7,176.3,188.3,190.8,192.5,198.1,199.8,191.5,196.5,199.2,187.6,194.8,200.5,198.9,198.3,
Febrero,161.6,177.4,188.2,190.4,193.7,197.8,198.5,190.6,196.7,200.4,188.2,194.7,198.6,198.6,198.9,
Marzo,163.0,178.3,187.9,190.5,194.4,198.3,197.2,189.4,196.9,200.7,187.8,194.6,197.7,198.2,196.4,
Abril,164.5,178.4,187.4,189.1,195.5,199.1,194.4,188.9,197.9,200.1,188.4,195.0,196.4,197.7,194.7,
Mayo,165.6,179.1,187.3,188.9,196.5,199.4,192.8,189.8,198.6,199.3,188.2,195.2,196.4,197.7,194.5,
Junio,166.5,179.9,187.5,188.4,197.7,199.1,191.6,190.9,198.5,198.6,188.0,196.1,196.8,198.4,194.1,
