Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Julio,135.1,136.8,139.7,143.3,144.5,145.6,143.7,133.0,133.6,138.3,143.2,146.4,151.2,153.4,154.5,157.8
Agosto,135.2,137.0,140.1,143.4,143.7,145.7,143.4,132.9,133.7,138.3,143.4,147.1,151.6,153.8,154.3,157.8
Septiembre,135.1,137.5,140.3,142.6,143.5,145.9,141.5,133.0,133.9,138.4,143.7,147.0,151.8,154.1,154.6,
Octubre,135.2,138.3,140.9,142.7,143.6,145.9,141.2,133.1,134.2,138.7,144.0,147.2,152.1,154.4,154.6,
Noviembre,135.6,138.7,141.0,143.2,143.8,146.0,140.1,133.3,134.3,138.8,144.8,148.0,152.5,154.4,154.7,
Diciembre,135.6,138.7,142.4,144.0,144.5,145.8,138.7,133.4,134.7,139.6,145.5,148.3,152.8,154.4,155.2,
Enero,136.0,138.8,141.8,144.3,144.2,145.8,136.9,133.5,135.5,140.3,144.5,148.4,152.9,154.2,155.1,
Febrero,135.7,138.9,141.9,144.4,144.8,145.6,135.5,133.6,135.8,141.0,145.2,148.6,152.9,154.3,155.9,
Marzo,135.9,139.4,142.2,144.6,145.0,145.6,134.2,134.2,136.0,141.3,145.4,149.4,153.0,154.2,156.0,
Abril,136.0,139.5,142.4,144.9,145.6,145.1,133.5,134.5,135.8,141.9,145.4,149.7,153.3,154.2,156.6,
Mayo,136.3,139.9,142.6,144.8,145.6,144.5,133.2,135.3,135.9,142.2,145.9,149.9,153.6,154.0,156.6,
Junio,136.4,139.9,143.2,144.9,145.4,144.2,132.7,135.4,136.0,142.6,146.1,150.2,153.8,154.2,157.1,
