Meses,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Julio,135.3,133.5,133.3,119.5,107.2,83.0,68.1,61.1,74.6,59.3,57.5,54.2,52.0,
Agosto,135.5,132.5,132.5,119.6,104.6,81.5,67.5,61.4,67.4,58.8,56.7,52.8,51.1,
Septiembre,134.9,132.8,130.6,119.4,103.5,79.8,67.5,61.9,66.7,58.4,56.4,52.1,51.1,
Octubre,135.3,130.0,129.7,119.2,100.9,77.6,67.6,63.3,71.4,57.8,56.3,52.1,50.8,
Noviembre,136.0,129.2,129.9,118.1,98.0,76.0,68.0,64.7,69.1,57.0,56.8,52.6,50.7,
Diciembre,136.6,129.6,126.3,115.7,98.7,74.2,67.9,66.2,67.0,58.0,57.8,54.6,50.9,
Enero,135.5,132.8,126.9,113.5,95.7,72.4,67.9,66.7,67.0,57.9,57.3,53.2,50.7,
Febrero,134.3,136.0,128.6,112.0,91.5,71.7,68.1,66.3,67.1,56.1,56.5,51.4,50.3,
Marzo,134.7,135.1,125.8,110.2,89.4,70.4,68.3,66.4,65.5,56.4,56.3,50.4,49.6,
Abril,135.3,134.8,122.5,110.3,86.9,69.5,68.3,66.8,64.3,57.0,55.9,50.1,49.6,
Mayo,135.6,134.9,121.3,109.9,84.3,68.7,67.8,68.0,62.9,57.0,55.0,51.5,49.8,
Junio,135.1,134.2,120.5,109.2,82.3,68.3,67.2,68.7,62.2,57.1,54.7,51.7,,
