year,month,births ,population, deaths , migration 
1972,1,5836,2865100,1810,-3559
1972,2,5394,2872907,1631,-3559
1972,3,5739,2880271,1709,-3559
1972,4,5374,2887979,1537,-3559
1972,5,5583,2895321,1572,-3559
1972,6,5190,2902871,1525,-3559
1972,7,5514,2910027,1564,-3559
1972,8,5719,2917506,1455,-3559
1972,9,6371,2925189,1489,-3559
1972,10,6252,2933523,1557,-3559
1972,11,5977,2941737,1592,-3559
1972,12,5965,2949675,1569,-3559
1973,1,5643,2957600,1811,-2655
1973,2,5222,2965215,1613,-2655
1973,3,5675,2972408,1718,-2655
1973,4,5333,2980053,1514,-2655
1973,5,5693,2987355,1511,-2655
1973,6,5352,2995016,1577,-2655
1973,7,5621,3002335,1629,-2655
1973,8,5737,3009922,1650,-2655
1973,9,6247,3017624,1490,-2655
1973,10,6439,3025835,1511,-2655
1973,11,5914,3034237,1503,-2655
1973,12,5945,3042113,1730,-2655
1974,1,5846,3050019,1702,-149
1974,2,5284,3057838,1470,-149
1974,3,5601,3065094,1705,-149
1974,4,5078,3072666,1621,-149
1974,5,5759,3079714,1788,-149
1974,6,5339,3087442,1677,-149
1974,7,5588,3094749,1596,-149
1974,8,6213,3102304,1520,-149
1974,9,6808,3110483,1541,-149
1974,10,6550,3119256,1554,-149
1974,11,6224,3127770,1607,-149
1974,12,5792,3135957,1706,-149
1975,1,5888,3143711,1831,2407
1975,2,5117,3151573,1509,2407
1975,3,5462,3158663,1613,2407
1975,4,5281,3166097,1489,2407
1975,5,5525,3173349,1646,2407
1975,6,5371,3180844,1556,2407
1975,7,5591,3188184,1572,2407
1975,8,6142,3195743,1536,2407
1975,9,6456,3203852,1503,2407
1975,10,6673,3212274,1570,2407
1975,11,6205,3220912,1527,2407
1975,12,5980,3229081,1717,2407
1976,1,5879,3237024,1668,234
1976,2,5472,3244878,1726,234
1976,3,5659,3252324,2148,234
1976,4,5423,3259956,1676,234
1976,5,5789,3267351,1626,234
1976,6,5686,3275111,1553,234
1976,7,5906,3282767,1606,234
1976,8,6484,3290642,1555,234
1976,9,6972,3299094,1524,234
1976,10,6894,3308033,1563,234
1976,11,6370,3316893,1614,234
1976,12,6349,3325228,1629,234
1977,1,6445,3333541,1592,-649
1977,2,5493,3341962,1422,-649
1977,3,6159,3349430,1625,-649
1977,4,5876,3357563,1498,-649
1977,5,5946,3365412,1619,-649
1977,6,5709,3373330,1616,-649
1977,7,6037,3381010,1617,-649
1977,8,6427,3389017,1627,-649
1977,9,6978,3397413,1621,-649
1977,10,6967,3406359,1767,-649
1977,11,6633,3415293,1794,-649
1977,12,6481,3423892,2079,-649
1978,1,6348,3432338,1799,-1341
1978,2,5779,3440663,1552,-1341
1978,3,6208,3448418,1668,-1341
1978,4,5731,3456601,1584,-1341
1978,5,6048,3464306,1762,-1341
1978,6,5547,3472327,1560,-1341
1978,7,6091,3479846,1686,-1341
1978,8,6303,3487908,1664,-1341
1978,9,6860,3496181,1574,-1341
1978,10,7002,3505010,1603,-1341
1978,11,6681,3513980,1658,-1341
1978,12,6468,3522628,1763,-1341
1979,1,5991,3531062,1830,-845
1979,2,5272,3539031,1621,-845
1979,3,5662,3546280,1727,-845
1979,4,5401,3553918,1728,-845
1979,5,5848,3561294,1628,-845
1979,6,5735,3569116,1683,-845
1979,7,6246,3576824,1651,-845
1979,8,6394,3585042,1715,-845
1979,9,6807,3593407,1686,-845
1979,10,6956,3602184,1712,-845
1979,11,6687,3611109,1669,-845
1979,12,6782,3619764,1740,-845
1980,1,6261,3628513,1848,-390
1980,2,5594,3636753,1613,-390
1980,3,5669,3644325,1699,-390
1980,4,5400,3651971,1561,-390
1980,5,5676,3659347,1758,-390
1980,6,5666,3666998,1708,-390
1980,7,5854,3674638,1728,-390
1980,8,6223,3682465,1686,-390
1980,9,6944,3690660,1636,-390
1980,10,6910,3699575,1725,-390
1980,11,6320,3708455,1726,-390
1980,12,6543,3716744,1792,-390
1981,1,6033,3725255,1986,-965
1981,2,5082,3733268,1682,-965
1981,3,5481,3740329,1872,-965
1981,4,5460,3747788,1682,-965
1981,5,5618,3755225,1754,-965
1981,6,5477,3762819,1662,-965
1981,7,5950,3770271,1823,-965
1981,8,6225,3778195,1720,-965
1981,9,6803,3786393,1698,-965
1981,10,6668,3795168,1731,-965
1981,11,6300,3803807,1711,-965
1981,12,6268,3812077,1876,-965
1982,1,6068,3820314,1931,-1367
1982,2,5192,3828363,1679,-1367
1982,3,5736,3835535,1853,-1367
1982,4,5307,3843250,1628,-1367
1982,5,5321,3850535,1844,-1367
1982,6,5188,3857833,1769,-1367
1982,7,5616,3864997,1810,-1367
1982,8,5885,3872588,1726,-1367
1982,9,6183,3880447,1706,-1367
1982,10,6390,3888603,1804,-1367
1982,11,6131,3896965,1814,-1367
1982,12,6319,3905067,1958,-1367
1983,1,5716,3913356,2012,-1445
1983,2,5105,3921054,1718,-1445
1983,3,5309,3928140,1825,-1445
1983,4,5014,3935429,1674,-1445
1983,5,5257,3942422,1725,-1445
1983,6,5113,3949657,1888,-1445
1983,7,5336,3956747,1863,-1445
1983,8,5803,3964059,1770,-1445
1983,9,6131,3971837,1719,-1445
1983,10,5946,3979942,1726,-1445
1983,11,5578,3987861,1728,-1445
1983,12,5434,3995411,1850,-1445
1984,1,5325,4002816,1846,-1018
1984,2,4773,4010124,1700,-1018
1984,3,4945,4016879,1824,-1018
1984,4,4609,4023805,1744,-1018
1984,5,4922,4030394,1730,-1018
1984,6,4907,4037295,1811,-1018
1984,7,5054,4044180,1749,-1018
1984,8,5579,4051211,1780,-1018
1984,9,5735,4058766,1743,-1018
1984,10,5907,4066476,1888,-1018
1984,11,5749,4074357,1845,-1018
1984,12,5816,4082079,2068,-1018
1985,1,5554,4089867,2213,-1028
1985,2,4872,4097405,1961,-1028
1985,3,5119,4104260,1917,-1028
1985,4,4900,4111361,1846,-1028
1985,5,5016,4118242,1966,-1028
1985,6,4738,4125238,1906,-1028
1985,7,5122,4131955,1889,-1028
1985,8,5542,4139055,1881,-1028
1985,9,5825,4146574,1817,-1028
1985,10,5878,4154375,1965,-1028
1985,11,5390,4162228,1776,-1028
1985,12,5673,4169592,2057,-1028
1986,1,5412,4177238,2156,-1087
1986,2,4819,4184635,1886,-1087
1986,3,4814,4191438,1914,-1087
1986,4,4675,4198235,1926,-1087
1986,5,4867,4204892,1969,-1087
1986,6,4696,4211740,1794,-1087
1986,7,5282,4218416,1954,-1087
1986,8,5607,4225677,1889,-1087
1986,9,6024,4233262,1861,-1087
1986,10,5896,4241263,2026,-1087
1986,11,5643,4249135,1900,-1087
1986,12,5816,4256753,2111,-1087
1987,1,5277,4264543,2116,-1033
1987,2,4761,4271806,1866,-1033
1987,3,5193,4278552,2036,-1033
1987,4,4932,4285729,1948,-1033
1987,5,4968,4292644,2037,-1033
1987,6,4912,4299594,1912,-1033
1987,7,5287,4306487,2024,-1033
1987,8,5520,4313754,2121,-1033
1987,9,6092,4321253,2015,-1033
1987,10,5934,4329323,1931,-1033
1987,11,5689,4337234,1922,-1033
1987,12,5819,4344899,2024,-1033
1988,1,5152,4352693,2184,-255
1988,2,4679,4359832,2087,-255
1988,3,5163,4366497,2229,-255
1988,4,4824,4373645,2047,-255
1988,5,4890,4380453,2217,-255
1988,6,4906,4387326,2114,-255
1988,7,5070,4394214,2104,-255
1988,8,5530,4401265,2028,-255
1988,9,6020,4408775,1960,-255
1988,10,6162,4416774,2031,-255
1988,11,5782,4424914,1943,-255
1988,12,5903,4432673,2175,-255
1989,1,5480,4440552,2406,-867
1989,2,4540,4448020,2028,-867
1989,3,5225,4454547,2326,-867
1989,4,5021,4461758,2144,-867
1989,5,5317,4468764,2121,-867
1989,6,5206,4476065,2107,-867
1989,7,5479,4483254,2082,-867
1989,8,5963,4490715,2036,-867
1989,9,6332,4498659,2186,-867
1989,10,6248,4506971,2150,-867
1989,11,5887,4515198,2091,-867
1989,12,5994,4523063,2310,-867
1990,1,5829,4531034,2437,-1453
1990,2,4954,4538852,2052,-1453
1990,3,5368,4545794,2211,-1453
1990,4,5008,4553149,2066,-1453
1990,5,5160,4560143,2209,-1453
1990,6,5133,4567288,2136,-1453
1990,7,5366,4574405,2148,-1453
1990,8,5869,4581754,2176,-1453
1990,9,5902,4589605,2060,-1453
1990,10,6092,4597488,2160,-1453
1990,11,5991,4605560,2194,-1453
1990,12,5883,4613530,2299,-1453
1991,1,5667,4621391,2315,-1165
1991,2,4809,4629048,2003,-1165
1991,3,4983,4635846,2264,-1165
1991,4,5021,4642817,2242,-1165
1991,5,5039,4649825,2180,-1165
1991,6,4698,4656850,2346,-1165
1991,7,5224,4663533,2164,-1165
1991,8,5541,4670741,2148,-1165
1991,9,6072,4678265,2168,-1165
1991,10,6011,4686319,2063,-1165
1991,11,5650,4694311,2141,-1165
1991,12,5801,4701941,2293,-1165
1992,1,5480,4709721,2431,-967
1992,2,4851,4717192,2429,-967
1992,3,4986,4724033,2305,-967
1992,4,4805,4731008,2164,-967
1992,5,4772,4737801,2244,-967
1992,6,4882,4744560,2171,-967
1992,7,5249,4751428,2212,-967
1992,8,5648,4758662,2276,-967
1992,9,6231,4766294,2093,-967
1992,10,6163,4774508,2287,-967
1992,11,5576,4782653,2312,-967
1992,12,5838,4790210,2471,-967
1993,1,5435,4798028,2740,-829
1993,2,4830,4805455,2334,-829
1993,3,5229,4812276,2587,-829
1993,4,4932,4819495,2313,-829
1993,5,5052,4826416,2494,-829
1993,6,5072,4833456,2425,-829
1993,7,5198,4840515,2318,-829
1993,8,5712,4847699,2234,-829
1993,9,6126,4855396,2171,-829
1993,10,5972,4863506,2307,-829
1993,11,5748,4871461,2180,-829
1993,12,5936,4879191,2387,-829
1994,1,5516,4887108,2533,-645
1994,2,4734,4894617,2347,-645
1994,3,5284,4901343,2455,-645
1994,4,4787,4908618,2200,-645
1994,5,5058,4915395,2339,-645
1994,6,5055,4922442,2314,-645
1994,7,5155,4929485,2397,-645
1994,8,5772,4936627,2432,-645
1994,9,5873,4944385,2190,-645
1994,10,5747,4952243,2291,-645
1994,11,5673,4959974,2342,-645
1994,12,5671,4967630,2602,-645
1995,1,5419,4975283,2962,-315
1995,2,4675,4982696,2412,-315
1995,3,5155,4989364,2548,-315
1995,4,4811,4996511,2395,-315
1995,5,5155,5003313,2360,-315
1995,6,4969,5010458,2429,-315
1995,7,5070,5017416,2528,-315
1995,8,5543,5024474,2536,-315
1995,9,5555,5032004,2500,-315
1995,10,5920,5039545,2623,-315
1995,11,5507,5047450,2415,-315
1995,12,5739,5054941,2488,-315
1996,1,5390,5062663,2540,-200
1996,2,4952,5070048,2406,-200
1996,3,4897,5076994,2516,-200
1996,4,4521,5083884,2283,-200
1996,5,4858,5090397,2526,-200
1996,6,4813,5097246,2385,-200
1996,7,5182,5104049,2509,-200
1996,8,5601,5111220,2557,-200
1996,9,5929,5118809,2556,-200
1996,10,5816,5126725,2493,-200
1996,11,5452,5134527,2415,-200
1996,12,5848,5141964,2684,-200
1997,1,5453,5149796,2671,-223
1997,2,4809,5157245,2469,-223
1997,3,5110,5164049,2729,-223
1997,4,4770,5171153,2559,-223
1997,5,4979,5177916,2441,-223
1997,6,4958,5184887,2379,-223
1997,7,5171,5191836,2460,-223
1997,8,5655,5198997,2307,-223
