year,quarter,Population,Births,Deaths,Migration
1972,1,2793406.3,16969,5150,9282
1972,2,2813874,16147,4634,8581
1972,3,2834758.3,17604,4508,8841
1972,4,2857665,18194,4718,9192
1973,1,2865727,16540,5142,-10429
1973,2,2866883.3,16378,4602,-10590
1973,3,2868465.7,17605,4769,-10605
1973,4,2871606,18298,4744,-10741
1974,1,2874905,16731,4877,-8098
1974,2,2877907,16176,5086,-8222
1974,3,2882294.7,18609,4657,-8234
1974,4,2888524.7,18566,4867,-8339
1975,1,2897447.7,16467,4953,-448
1975,2,2908413.7,16177,4691,-454
1975,3,2920534.3,18189,4611,-455
1975,4,2934556.7,18858,4814,-461
1976,1,2951015.3,17010,5542,6526
1976,2,2969106.3,16898,4855,6626
1976,3,2989303.7,19362,4685,6636
1976,4,3011328.7,19613,4806,6721
1977,1,3027462.7,18097,4639,127
1977,2,3040597,17531,4733,129
1977,3,3054302.7,19442,4865,128
1977,4,3069496.7,20081,5640,130
1978,1,3081722.7,18335,5019,-1893
1978,2,3092576.7,17326,4906,-1922
1978,3,3103993.3,19254,4924,-1925
1978,4,3117443,20151,5024,-1949
1979,1,3127169,16925,5178,-3519
1979,2,3135287,16984,5039,-3572
1979,3,3145230.7,19447,5052,-3578
1979,4,3156875.7,20425,5121,-3623
1980,1,3167566,17524,5160,-2295
1980,2,3176989.7,16742,5027,-2329
1980,3,3187516,19021,5050,-2332
1980,4,3200052.3,19773,5243,-2363
1981,1,3211100,16596,5540,-561
1981,2,3221698,16555,5098,-570
1981,3,3233790,18978,5241,-570
1981,4,3247582,19236,5318,-577
1982,1,3258111.3,16996,5463,-2271
1982,2,3266709.7,15816,5241,-2306
1982,3,3275904,17684,5242,-2310
1982,4,3286869.7,18840,5576,-2339
1983,1,3295459.7,16130,5555,-3158
1983,2,3302485.7,15384,5287,-3207
1983,3,3310226.3,17270,5352,-3212
1983,4,3319262.3,16958,5304,-3253
1984,1,3326014,15043,5370,-3615
1984,2,3331488,14438,5285,-3669
1984,3,3338100,16368,5272,-3675
1984,4,3346201.7,17472,5801,-3722
1985,1,3353293.3,15545,6091,-2724
1985,2,3359674.7,14654,5718,-2765
1985,3,3366813,16489,5587,-2769
1985,4,3375447.3,16941,5798,-2805
1986,1,3382331,15045,5956,-2970
1986,2,3387887,14238,5689,-3015
1986,3,3394955.3,16913,5704,-3019
1986,4,3403533.3,17355,6037,-3058
1987,1,3410193,15231,6018,-3280
1987,2,3415882.7,14812,5897,-3331
1987,3,3422404.7,16899,6160,-3335
1987,4,3430680,17442,5877,-3377
1988,1,3437233,14994,6500,-2689
1988,2,3442823.7,14620,6378,-2728
1988,3,3449490.3,16620,6092,-2733
1988,4,3458548,17847,6149,-2767
1989,1,3466314,15245,6760,-1183
1989,2,3473929,15544,6372,-1201
1989,3,3483252,17774,6304,-1202
1989,4,3493972.3,18129,6551,-1218
1990,1,3502013.7,16151,6700,-2487
1990,2,3508478.3,15301,6411,-2524
1990,3,3515886.3,17137,6384,-2529
1990,4,3524793,17966,6653,-2561
1991,1,3531233,15459,6582,-3746
1991,2,3535661,14758,6768,-3803
1991,3,3540987.3,16837,6480,-3809
1991,4,3548347,17462,6497,-3858
1992,1,3554016.7,15317,7165,-3170
1992,2,3558634.7,14459,6579,-3219
1992,3,3564717.3,17128,6581,-3224
1992,4,3572531.3,17577,7070,-3265
1993,1,3578168.7,15494,7661,-2774
1993,2,3583162.3,15056,7232,-2817
1993,3,3589469.3,17036,6723,-2821
1993,4,3597654.7,17656,6874,-2857
1994,1,3604283,15534,7335,-2237
1994,2,3610015.7,14900,6853,-2271
1994,3,3616681.7,16800,7019,-2274
1994,4,3624662.7,17091,7235,-2303
1995,1,3631036,15249,7922,-1274
1995,2,3637365.3,14935,7184,-1294
1995,3,3644256.3,16168,7564,-1296
1995,4,3652434.3,17166,7526,-1312
1996,1,3659906.7,15239,7462,-946
1996,2,3665987.3,14192,7194,-961
1996,3,3673245.3,16712,7622,-962
1996,4,3681943.7,17116,7592,-975
1997,1,3689332.3,15372,7869,-1012
1997,2,3695917.7,14707,7379,-1027
1997,3,3703606.3,16767,7065,-1028
1997,4,3712829,17320,6807,-1041
1998,1,3720552.3,14487,7283,466
1998,2,3727570,13862,7132,474
1998,3,3735637,15801,7321,474
1998,4,3745153.3,16323,8254,481
1999,1,3752978.7,13896,7548,851
1999,2,3759944.7,13336,7103,864
1999,3,3768283.7,15904,7368,865
1999,4,3778722,16548,7126,876
2000,1,3786058.3,14283,7902,-529
2000,2,3791695.7,13402,7107,-538
2000,3,3798909.7,15533,6756,-538
2000,4,3807966,16242,6785,-545
2001,1,3812015,13760,7251,-4524
2001,2,3813518,12992,7009,-4593
2001,3,3815707.3,14527,7138,-4600
2001,4,3818578,14704,7396,-4658
2002,1,3819367,12679,7291,-4808
2002,2,3819821.7,12352,6866,-4882
2002,3,3820988,13721,7012,-4888
2002,4,3823365,14119,6929,-4950
2003,1,3824076.7,12286,7149,-4817
2003,2,3824068.3,11777,6999,-4891
2003,3,3824623.7,13252,7014,-4899
2003,4,3826231.7,13488,7194,-4960
2004,1,3825587,12164,7697,-5135
2004,2,3824938,11705,7235,-5213
2004,3,3825336.7,13459,6789,-5221
2004,4,3827080.7,13911,7345,-5287
2005,1,3825066.7,11963,8106,-6456
2005,2,3822785,11694,7304,-6554
2005,3,3821742.3,13512,7130,-6565
2005,4,3821770,13518,7162,-6649
