yearm,      births, deaths, migration,  month_pop 
1/1/1972,   5,836,  1,810,  3,229,      2,786,555
2/1/1972,   5,394,  1,631,  2,945,      2,793,263
3/1/1972,   5,739,  1,709,  3,108,      2,800,401
4/1/1972,   5,374,  1,537,  2,851,      2,807,089
5/1/1972,   5,583,  1,572,  2,938,      2,814,038
6/1/1972,   5,190,  1,525,  2,792,      2,820,495
7/1/1972,   5,514,  1,564,  2,913,      2,827,358
8/1/1972,   5,719,  1,455,  2,863,      2,834,485
9/1/1972,   6,371,  1,489,  3,065,      2,842,432
10/1/1972,  6,252,  1,557,  3,098,      2,850,225
11/1/1972,  5,977,  1,592,  3,060,      2,857,670
12/1/1972,  5,965,  1,569,  3,034,      2,865,100
1/1/1973,   5,643,  1,811,  -3,444,     2,865,488
2/1/1973,   5,222,  1,613,  -3,471,     2,865,625
3/1/1973,   5,675,  1,718,  -3,514,     2,866,068
4/1/1973,   5,333,  1,514,  -3,516,     2,866,371
5/1/1973,   5,693,  1,511,  -3,529,     2,867,024
6/1/1973,   5,352,  1,577,  -3,545,     2,867,255
7/1/1973,   5,621,  1,629,  -3,559,     2,867,688
8/1/1973,   5,737,  1,650,  -3,552,     2,868,223
9/1/1973,   6,247,  1,490,  -3,494,     2,869,486
10/1/1973,  6,439,  1,511,  -3,572,     2,870,842
11/1/1973,  5,914,  1,503,  -3,578,     2,871,676
12/1/1973,  5,945,  1,730,  -3,591,     2,872,300
1/1/1974,   5,846,  1,702,  -2,674,     2,873,770
2/1/1974,   5,284,  1,470,  -2,695,     2,874,889
3/1/1974,   5,601,  1,705,  -2,729,     2,876,056
4/1/1974,   5,078,  1,621,  -2,730,     2,876,783
5/1/1974,   5,759,  1,788,  -2,740,     2,878,014
6/1/1974,   5,339,  1,677,  -2,752,     2,878,924
7/1/1974,   5,588,  1,596,  -2,763,     2,880,153
8/1/1974,   6,213,  1,520,  -2,758,     2,882,088
9/1/1974,   6,808,  1,541,  -2,713,     2,884,643
10/1/1974,  6,550,  1,554,  -2,773,     2,886,866
11/1/1974,  6,224,  1,607,  -2,778,     2,888,705
12/1/1974,  5,792,  1,706,  -2,788,     2,890,003
1/1/1975,   5,888,  1,831,  -148,       2,893,909
2/1/1975,   5,117,  1,509,  -149,       2,897,368
3/1/1975,   5,462,  1,613,  -151,       2,901,066
4/1/1975,   5,281,  1,489,  -151,       2,904,708
5/1/1975,   5,525,  1,646,  -151,       2,908,435
6/1/1975,   5,371,  1,556,  -152,       2,912,098
7/1/1975,   5,591,  1,572,  -153,       2,915,964
8/1/1975,   6,142,  1,536,  -152,       2,920,418
9/1/1975,   6,456,  1,503,  -150,       2,925,221
10/1/1975,  6,673,  1,570,  -153,       2,930,171
11/1/1975,  6,205,  1,527,  -154,       2,934,695
12/1/1975,  5,980,  1,717,  -154,       2,938,804
1/1/1976,   5,879,  1,668,  2,155,      2,945,166
2/1/1976,   5,472,  1,726,  2,172,      2,951,085
3/1/1976,   5,659,  2,148,  2,199,      2,956,795
4/1/1976,   5,423,  1,676,  2,200,      2,962,742
5/1/1976,   5,789,  1,626,  2,208,      2,969,113
6/1/1976,   5,686,  1,553,  2,218,      2,975,464
7/1/1976,   5,906,  1,606,  2,227,      2,981,991
8/1/1976,   6,484,  1,555,  2,223,      2,989,143
9/1/1976,   6,972,  1,524,  2,186,      2,996,777
10/1/1976,  6,894,  1,563,  2,235,      3,004,343
11/1/1976,  6,370,  1,614,  2,239,      3,011,338
12/1/1976,  6,349,  1,629,  2,247,      3,018,305
1/1/1977,   6,445,  1,592,  42,         3,023,195
2/1/1977,   5,493,  1,422,  42,         3,027,308
3/1/1977,   6,159,  1,625,  43,         3,031,885
4/1/1977,   5,876,  1,498,  43,         3,036,305
5/1/1977,   5,946,  1,619,  43,         3,040,675
6/1/1977,   5,709,  1,616,  43,         3,044,811
7/1/1977,   6,037,  1,617,  43,         3,049,274
8/1/1977,   6,427,  1,627,  43,         3,054,117
9/1/1977,   6,978,  1,621,  42,         3,059,517
10/1/1977,  6,967,  1,767,  43,         3,064,760
11/1/1977,  6,633,  1,794,  43,         3,069,642
12/1/1977,  6,481,  2,079,  44,         3,074,088
1/1/1978,   6,348,  1,799,  -625,       3,078,024
2/1/1978,   5,779,  1,552,  -630,       3,081,621
3/1/1978,   6,208,  1,668,  -638,       3,085,523
4/1/1978,   5,731,  1,584,  -638,       3,089,032
5/1/1978,   6,048,  1,762,  -641,       3,092,677
6/1/1978,   5,547,  1,560,  -643,       3,096,021
7/1/1978,   6,091,  1,686,  -646,       3,099,780
8/1/1978,   6,303,  1,664,  -645,       3,103,774
9/1/1978,   6,860,  1,574,  -634,       3,108,426
10/1/1978,  7,002,  1,603,  -648,       3,113,176
11/1/1978,  6,681,  1,658,  -649,       3,117,550
12/1/1978,  6,468,  1,763,  -652,       3,121,603
1/1/1979,   5,991,  1,830,  -1,162,     3,124,599
2/1/1979,   5,272,  1,621,  -1,171,     3,127,079
3/1/1979,   5,662,  1,727,  -1,186,     3,129,829
4/1/1979,   5,401,  1,728,  -1,186,     3,132,315
5/1/1979,   5,848,  1,628,  -1,190,     3,135,345
6/1/1979,   5,735,  1,683,  -1,196,     3,138,201
7/1/1979,   6,246,  1,651,  -1,201,     3,141,596
8/1/1979,   6,394,  1,715,  -1,198,     3,145,077
9/1/1979,   6,807,  1,686,  -1,179,     3,149,019
10/1/1979,  6,956,  1,712,  -1,205,     3,153,058
11/1/1979,  6,687,  1,669,  -1,207,     3,156,869
12/1/1979,  6,782,  1,740,  -1,211,     3,160,700
1/1/1980,   6,261,  1,848,  -758,       3,164,355
2/1/1980,   5,594,  1,613,  -764,       3,167,573
3/1/1980,   5,669,  1,699,  -773,       3,170,770
4/1/1980,   5,400,  1,561,  -773,       3,173,836
5/1/1980,   5,676,  1,758,  -776,       3,176,977
6/1/1980,   5,666,  1,708,  -780,       3,180,156
