mes,indice_coincidente_JP,empleo_total_EE,nómina_en_manufactura,exportaciones,importaciones,indice_de_actividad_económica_EU,registro_en_hoteles,horas_trabajadas_manufactura,ventas_al_detalle,generación_energía_eléctrica,ventas_de_cemento,indice_de_precios,indice_coincidente_de_turismo_JP,indice_coincidente_de_construcción_JP,registro_de_paradores,empleo_en_turismo,ventas_materiales_de_construcción,empleo_en_construcción,empleo_en_manufactura,indice_coincidente_de_manufactura_JP,consumo_de_gasolina,producción_de_cemento,indice_de_actividad_económica_BGF,valor_permisos_de_construcción
2017M01,-0.54364,2.01307,-5251.42948,632550.95090,350092.84746,-0.02876,-1191.47764,-25.21186,-21006.75790,-51.67955,25.34647,-0.00056,-2.11882,1.90873,-1035.33237,-754.19694,5426.75197,149.42903,2185.68567,-0.72940,-7.13701,71.12870,-0.87934,-1683.73
2016M12,-0.31208,-10.44176,-2719.13505,615774.05217,265805.36661,0.06718,-7310.22201,11.31066,3690.37580,47.27995,74.05287,-0.00230,-1.76055,1.77204,-1131.30745,-767.64454,5769.65710,322.67261,1053.13373,0.28222,2.31330,3.75975,-1.06318,-578.69900
2016M11,-0.38051,-1.79661,-5312.80011,11876.27265,-60301.81557,-0.13688,-16625.95718,7.83338,5628.67158,-11.16015,-10.04092,-0.00353,-1.90226,1.23532,-1647.07454,-654.08632,6333.52035,395.91503,1880.56492,2.29384,1.61190,-98.67217,-1.04702,1111.84993
2016M10,-0.14893,3.04860,-636.36314,-24141.01981,-207693.45138,-0.04094,-15106.61756,75.35639,12095.26307,-31.49982,-67.63568,-0.00537,-1.64393,1.09857,-1366.31692,-691.51054,5991.25534,179.15266,2583.95425,3.00547,-1.22987,-130.77917,0.26917,-5492.97069
2016M09,-0.01733,8.49393,601.27834,-138123.54897,899690.17216,-0.04500,20424.99074,74.87976,18282.24045,-66.43894,114.36791,-0.00890,-1.38551,1.16173,1466.59484,-711.90040,5217.726806,608.37880,1235.26223,1.61710,5.66253,-41.06553,0.98541,-383.95199
2016M08,-0.28570,4.33944,998.23174,-346363.85234,614433.37062,-0.04906,-17681.82184,89.40294,-20952.39943,43.42286,131.26969,-0.00984,-1.42693,0.92477,-2178.69931,-602.23379,-3876.24675,245.58536,901.42941,0.82868,1.11525,-115.17954,1.00171,-2839.74269
2016M07,-0.25403,7.58513,-467.40017,-72197.40165,-332241.48248,0.04689,9760.097568,63.92482,-19461.80079,10.18646,-77.93141,-0.00887,-0.96814,1.58762,-28.87070,-587.48309,-1718.88707,566.75958,969.38682,0.04018,1.01446,254.50340,0.71809,-4469.78859
2016M06,-0.42230,-3.26905,-1699.52232,-28356.99608,-5605.75465,-0.05716,-8609.96177,35.44360,-33387.94615,30.75238,2.66256,-0.00721,-1.00906,1.05023,435.82613,-678.61602,2786.61400,721.88678,1049.05854,0.15152,-6.28998,65.64907,0.53455,-9403.71353
2016M05,-0.29050,-3.12320,-3173.03606,-381237.87772,374773.75023,-0.16120,-15392.78586,29.95699,-17107.66790,41.32110,-7.14987,-0.01504,-0.94959,0.61251,142.53687,-653.59580,7270.07788,237.94792,1547.36116,-0.43734,-7.11632,71.93956,0.45110,-7173.20689
2016M04,0.04138,-1.87741,-241.82959,-179068.06986,-179259.72849,0.03476,-6887.09432,12.46241,41698.45921,17.19284,-2.87017,-0.01577,-0.48965,-1.02560,263.60384,-577.38038,7414.30449,-24.08162,-154.79682,-0.32647,-6.39264,13.51447,0.26773,-7513.48550
2016M03,0.07338,-1.73171,463.23335,69399.34586,190780.15677,-0.06926,-3160.48795,-9.04293,-56473.00755,-4.03250,-26.79977,-0.01880,-0.22913,-0.96421,1475.76826,-313.92269,-10194.96235,-307.22827,641.48116,0.28409,-7.53588,-2.01599,0.18444,-8558.91082
2016M02,0.50550,-2.48616,-18.70910,166790.66949,-25767.86321,0.22673,4376.48557,40.43806,34558.16730,85.74486,63.65992,-0.01303,0.13207,-0.20339,1248.96933,-127.17119,1217.96399,-748.51831,587.09286,0.79428,-4.90937,132.59932,0.30121,5552.11367
2016M01,0.23777,0.35923,-1477.52240,55330.66561,-95139.52975,0.32274,21066.30294,101.90256,-82199.34496,-7.77527,-91.39230,-0.00816,0.29406,1.35679,465.63485,-155.07194,-35738.15123,-539.97562,620.93107,1.20404,-6.30500,-106.80779,0.41803,1828.35051
2015M12,0.27021,-2.89555,3499.92818,-22230.18818,-437173.38534,0.41877,6108.40710,61.34744,-5456.13974,56.90624,-9.95812,-0.00678,0.75695,2.51626,586.58298,100.43000,36279.44789,1849.38168,1454.88408,0.81332,4.01680,166.31825,0.43489,7916.71941
2015M11,0.00282,-3.75051,-389.21128,289649.15879,-82354.23834,0.41482,-3641.92155,2.76877,-44330.17819,-5.51140,19.46149,-0.00209,1.02084,0.27494,-779.87171,586.39078,26276.79297,-34.46036,513.83536,-0.67795,-1.19097,134.56976,0.25177,11095.12596
